,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71767990,SLD,899900,865000,11/12/2014,3/28/2016,,412,412,35 Campion Rd,North Andover,MA,1845,,4,5.5,4865,32,49658,Matthew McLennan,Century 21 McLennan & Company,(978) 683-8008,Call List Office,"Elegant English Tudor set atop a gorgeous grassy knoll in prestigious Hardt Court Estates, quite possibly North Andover's finest neighborhood, located on the banks of Lake Cochichewick.  This beautifully designed home offers a dramatic entry foyer with split stairway, a 2 story open concept family room with floor to ceiling stone FP, a large private office, formal dining with coffered ceiling, and a cherry, granite, and stainless modern kitchen.  Where the home is truly unique is the 2nd floor which offer 4 private bedroom suites, all complete with own bathrooms!  BONUS additional 2000 sq ft of finished space in the lower level, perfect for play room, fitness room, and craft room.  Outside you will find a fenced in yard with a heated gunite pool & spa tub, lawn irrigation, and a brand new roof installed Nov 2014.  This home is large, beautiful, and in mint condition. #won'tyoubemyneighbor? #coolneighbors,trustme","Colonial, Tudor",1,3,"Forced Air, Heat Pump, Oil",,Kittredge,NAMS,NAHS,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Marble;Appliances:Wall Oven, Dishwasher, Disposal, Compactor, Microwave, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Stucco;Exterior Features:Patio, Pool - Inground Heated, Gutters, Professional Landscaping, Sprinkler System, Fenced Yard;Insulation:Fiberglass;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Electric;",SF,Campion Rd,35,35,http://media.mlspin.com/photo.aspx?mls=71767990
2,71795591,SLD,690000,645000,2/26/2015,3/28/2016,,364,364,23 Greybirch Road,Andover,MA,1810,,4,3.5,4182,35,50442,Karen Lu,RE/MAX Partners,(978) 475-2100,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","Priced below assessed value. Expansive home on a serene, wooded lot on a cul de sac in the High Plain / Wood Hill school district. Master bath and first floor bath have just been beautifully remodeled, and the home's exterior painted. The first floor boasts an enormous family room which opens to a Bluestone patio, a sunny and large, updated kitchen, dining room, fireplaced office and living room, and a gorgeous sunroom which opens to an oversized mahogany deck. The second floor is accessed by two staircases and has 3 spacious, private bedrooms, in addition to a bright master with newly remodeled, double vanity bathroom. On the lower level you will find a full bathroom, and two more rooms with private entrance. This area could easily be converted to an in-law, or teen retreat. This unique home has everything on your wish list and more!",Contemporary,1,2,"Hot Water Baseboard, Oil",,High Plain,Wood Hill,Andover,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete, Irregular;Construction:Frame;Exterior:Wood;Exterior Features:Deck, Patio, Gutters, Storage Shed, Professional Landscaping, Sprinkler System;Insulation:Full;Electric:220 Volts, Circuit Breakers, 200 Amps;Interior Features:Security System, Cable Available;Hot Water:Oil;",SF,Greybirch Road,23,23,http://media.mlspin.com/photo.aspx?mls=71795591
3,71816796,SLD,1590000,1500000,4/14/2015,3/28/2016,,240,240,151 Bellingham Rd,Brookline,MA,2467,Chestnut Hill ,5,4,3947,11,8132,The Kennedy Lynch Team,Hammond Residential R. E.,(617) 731-4644,"Call List Agent, Accompanied Showings, Appointment Required","Stunning 2007 custom built colonial with five bedrooms, three full and two-half bathrooms. Superb craftsmanship throughout, foyer has18ft ceilings. Fabulous sun-filled open floor plan. Cherry cabinet kitchen, centre island, stainless steel appliances and granite counters, which opens to the family room with fireplace and atrium doors to deck.  Desirable first floor bedroom suite. Luxurious master suite with gas fireplace, spa-like bathroom with cathedral ceiling and skylight. Full bathrooms with radiant heated floors. Third floor has open great room or 6th bedroom. LL with possible au pair suite. Convenient location to downtown Boston, Longwood medical area and Chestnut Hill.",Colonial,1,2,"Hot Water Baseboard, Radiant, Gas",,Buffer,,Brookline high,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Brick, Stucco;Exterior Features:Deck, Professional Landscaping, Sprinkler System;Insulation:--;Electric:200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, Intercom;Hot Water:Natural Gas;",SF,Bellingham Rd,151,151,http://media.mlspin.com/photo.aspx?mls=71816796
4,71817353,SLD,250000,245000,4/13/2015,3/28/2016,,287,287,119 Murphy Lane,Chicopee,MA,1020,,3,1,2417,52,20473,Jennifer Picard,ERA M Connie Laplante,(413) 536-9111,Schedule with ShowingTime or call 888-627-2775,"Welcome Home!This one owner Raised Ranch has been lovingly maintained for almost 40 years and pride of ownership shows!Quality renovations include fantastic family room and dining room additions that are sure to please for entertaining and family gatherings, and a fully applianced kitchen by Herzenberg with plenty of cabinet space, granite tiled countertops and a casual dining area.Formal living room with fireplace, updated full bath, finished room with second fireplace in basement, gleaming hardwood floors, central air and more! Newer roof, siding and gutters installed in the last few years. Lots of closets and storage space and 2 car garage too. Double tiered deck lets you extend your entertaining to the backyard with wooded view and plenty of space for outdoor enjoyment. Beautiful landscaping, front yard sprinkler system...the list just keeps going! Don't miss this rare opportunity-homes like this don't become available too often! Call for your private tour today and make it yours!",Raised Ranch,1,2,Electric Baseboard,,,,,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Gutters, Sprinkler System, Screens;Insulation:Blown In;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Electric;",SF,Murphy Lane,119,119,http://media.mlspin.com/photo.aspx?mls=71817353
5,71818994,SLD,520995,644280,4/16/2015,3/28/2016,,24,8,50 Skipping Stone,Plymouth,MA,2360,Pinehills,2,2,2237,3,7152,Christine Sweeney,Toll Brothers Real Estate,(508) 366-1440,"Call List Agent, Other (See Special Showing Instructions)","Visit our beautiful model daily from 9-5. .The foyer of the sophisticated Marshall opens to the combined living and dining rooms, creating a warm and inviting ambience from the moment you enter this home. The inviting master bedroom features a set-back French-door entry; a tray ceiling; two enormous walk-in closets; and a relaxing master bath. Other highlights include an elegant foyer with a tray ceiling, a well-appointed kitchen with a breakfast area and a sliding door to the rear covered patio, and a tucked-away laundry.  Fantastic outstanding features including granite kitchens,10 ft ceilings, 5 burner cooktop and stainless steel hood appliance package, tiled baths and more",Other (See Remarks),1,2,"Central Heat, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl, Stone;Exterior Features:Deck - Composite, Covered Patio/Deck;Insulation:Blown In, Fiberglass - Batts;Electric:200 Amps;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;",SF,Skipping Stone,50,50,http://media.mlspin.com/photo.aspx?mls=71818994
6,71822877,SLD,89000,87000,4/23/2015,3/28/2016,,544,313,50 MOUNT PLEASANT ST,Athol,MA,1331,,3,1,1318,118,6600,Celeste Reppucci,Realty Rx,(978) 632-7101,"Call List Office, Appointment Required","ABSOLUTELY ADORABLE!  Imaginative & energetic sellers have nicely renovated!  Charming kitchen with wainscoting and pantry.  Lovely full bath with pedestal sink, subway tiles & glass accent tiles.  Amazing hardwood floors.  Living room features built-in entertainment center.  French door leads into first floor master bedroom.  Two more bedrooms up.  Walk-in attic allows for easy storage space.  First floor laundry.  Brand new roof (and sheathing).  Sweet patio with fire pit hidden behind privacy fence.  Storage shed.  Call to view this neat home today.  VALUE PRICED!",Other (See Remarks),,0,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:--;Floor:Wood, Tile;Appliances:--;Foundation:Fieldstone;Construction:--;Exterior:Vinyl;Exterior Features:Porch, Patio, Storage Shed;Insulation:--;Electric:--;Interior Features:--;Hot Water:Electric;",SF,MOUNT PLEASANT ST,50,50,http://media.mlspin.com/photo.aspx?mls=71822877
7,71833195,SLD,315000,295000,05/09/2015,3/28/2016,,163,147,8 Brown Rd,Shirley,MA,1464,,4,2,2160,58,20037,Apple Country Team,Keller Williams Realty North Central,(978) 840-9000,"Lock Box, Sign, Schedule with ShowingTime or call 888-627-2775","Completely renovated expanded ranch. Finished basement with addition bedroom, bathroom and playroom. First level has 3 bedrooms, living room, kitchen, full bath and large family room. Nice large flat lot. 2 Car detached garage.",Ranch,1,2,"Forced Air, Gas",,Lunenburg,Sky View,Ayer/Shirley,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete, Other (See Remarks);Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck - Wood;Insulation:Full;Electric:220 Volts, 200 Amps;Interior Features:--;Hot Water:Natural Gas, Tankless;",SF,Brown Rd,8,8,http://media.mlspin.com/photo.aspx?mls=71833195
8,71854733,SLD,199000,195000,06/10/2015,3/28/2016,,259,232,20 Branscomb St,New Bedford,MA,2745,,3,2.5,1658,83,3794,Sharon Simmons,RE/MAX Welcome Home,(508) 823-2700,"Accompanied Showings, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","CONDO - LIKE Living without condo fees! LOW MAINTENANCE on this one....YOUR NEW HOME! You'll love the original woodwork is this good sized bungalow with 3 bedrooms, two on the first floor with a full bath nearby! Open floor plan, pocket doors to dining area. Home has a very warm feeling. Kitchen directly off dining area, renovated first floor full bath with Jacuzzi tub, deck out back with herb gardens and side yard with more gardens, fenced in! If you prefer a quaint yard for outdoor pleasures, simply remove gardens! Basement can be finished off. Perfect front porch for relaxing! TWO DRIVEWAYS! You are surely missing out is you have not seen this home yet! Call today!",Bungalow,,0,"Hot Water Baseboard, Gas",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:--;Foundation:Other (See Remarks);Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Garden Area;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;",SF,Branscomb St,20,20,http://media.mlspin.com/photo.aspx?mls=71854733
9,71864350,SLD,359900,359900,6/25/2015,3/28/2016,,190,58,36A Christopher Drive,Freetown,MA,2717,,3,2.5,1800,3,94034,Trudy Becker,A & E Realty,(508) 586-1918,"Call List Office, Call List Agent, Sign","Time to move!  Your opportunity to have a brand new home for affordable prices!!  Open floor plan offers kitchen with your choice of cabinets and counters, dinning room with vaulted ceiling and slider to deck overlooking acres of trees. and liv with vaulted ceiling. Master bedroom with master bath and walk in closet.  finished family room and two car garage add to the comfort of living.  Join this wonderful community with 27 new homes.  Special financing available with no money down if you qualify.  Call for details.  close to highways, train to Boston. Don't miss out!  Other styles available.",Contemporary,1,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:--;Exterior Features:Deck, Gutters, Professional Landscaping;Insulation:Full;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;",SF,Christopher Drive,36,36A,http://media.mlspin.com/photo.aspx?mls=71864350
10,71872059,SLD,515900,520000,7/13/2015,3/28/2016,,247,202,85 Bridle Rd,Billerica,MA,1821,,3,2.5,2456,3,30000,John Hughes III,ERA Key Realty Services,(978) 614-1600,Schedule with ShowingTime or call 888-627-2775,"WATERFRONT PROPERTY!. New Colonial Home with over 2,400 square feet of living space - featuring oak hardwood flooring, hardwood stairs, eat-in kitchen with granite countertops and center island, central air conditioning, master bedroom with master bath with double sinks and walk-in closet, family room with vaulted ceilings and gas fireplace, 1st floor laundry, walk-up attic, 2- car garage. Enjoy fishing or boating in your back yard.",Colonial,1,2,"Central Heat, Forced Air",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full, Fiberglass;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Natural Gas;",SF,Bridle Rd,85,85,http://media.mlspin.com/photo.aspx?mls=71872059
