,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71434629,SLD,180000,185000,9/13/2012,8/15/2017,,4,4,112-114 Cedar Street,Haverhill,MA,1830,,2,2,2246,118,3840,Juan Ortega,Century 21 McLennan & Company,(978) 683-8008,Call List Office,Nice 2 family on a corner lot.  Short sale.,,,0,,,,,,,MF,Cedar Street,112114,112-114,http://media.mlspin.com/photo.aspx?mls=71434629
2,71475884,ACT,874900,,1/25/2013,,,2695,,24 Crescent C095/Multi007,Derry,NH,3038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
3,71475957,ACT,350000,,1/25/2013,,,1851,,23 North End Blvd.,Salisbury,MA,1952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
4,71606829,ACT,499000,,11/10/2013,,,1557,,17 Richards Avenue,North Attleboro,MA,2760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
5,71717097,SLD,119900,115000,7/21/2014,08/02/2017,,21,21,45 School Street,Swansea,MA,2777,,4,2,2128,124,15246,Cindy Lee Cabral,James Velozo Real Estate,(508) 677-0013,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required","ATTN: INVESTORS!  This 2 family home with 2 bedroom apartments and detached 2 stall garage needs work, but has lots of potential.  MAKE AN APPOINTMENT TODAY!",,,2,,,,,,,MF,School Street,45,45,http://media.mlspin.com/photo.aspx?mls=71717097
6,71725419,SLD,85000,85000,08/06/2014,08/11/2017,,217,203,29/31 Wild St,Providence,RI,2904,,4,2,1904,30,5680,Flora Rocha,RE/MAX Right Choice,(508) 677-3629,Call List Agent,"Great for owner occupied. open floor plan, dead end street",,,0,,,,,,,MF,Wild St,2931,29/31,http://media.mlspin.com/photo.aspx?mls=71725419
7,71743520,SLD,144999,153659,9/15/2014,08/01/2017,,639,623,353 Parker St,Gardner,MA,1440,,4,2,2744,94,13350,Amy Mullen,RE/MAX Prof Associates,(508) 799-4900,Schedule with ShowingTime or call 888-627-2775,"TWO FAMILY available!  Ready for move-in as a mortgage helper home!  You will have nothing to do with this building as an extensive system rehab has already been done including state-of-the-art gas heating system, electrical, plumbing and roof.  Two two or three bed units with beautiful hardwoods, large open kitchens, pantry, high ceilings and character.  Off street parking and yard.  Full dry basement with laundry hook ups, new decks, large front porch and POSITIVE CASH FLOW if both units are rented!  Buy for a headache free investment or purchase and live in a unit for headache free living!  NOT A SHORT SALE and NOT A FORECLOSURE - QUICK CLOSE!",,,0,,,,,,,MF,Parker St,353,353,http://media.mlspin.com/photo.aspx?mls=71743520
8,71787759,ACT,190000,,1/27/2015,,,555,,3 Oak St,Uxbridge,MA,1569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
9,71793718,SLD,169900,145000,02/07/2015,08/09/2017,,736,736,1325 ACUSHNET AVE,New Bedford,MA,2746,North,4,3,5565,122,11127,John Ryan,"Pelletier Realty, Inc.",(508) 995-2676,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Affordable Opportunity awaits this unique Mixed Use Business property.  Built in 1899 this classic Victorian style home shows character throughout. Large spacious first floor offers multiple options for office rental space/ or conversion for residential unit(s).  Front to back 2nd level offers a large apartment with 3 bedrooms/ full kitchen /full bath, additional room as office study or extra bedroom and enclosed porch. The 3rd level adds another apartment in need of some updating.  The large parking area adds convenience along with the two   2 car garages.  Looking for a in home office/ business with rental income potential?  Call for additional information and showings.",,,4,,,,,,,MF,ACUSHNET AVE,1325,1325,http://media.mlspin.com/photo.aspx?mls=71793718
10,71807860,ACT,2000000,,3/27/2015,,,1061,,82-86 Prospect St,Somerville,MA,2143,,0,0,19800,88,9265,Richard Fontaine,Good Shepherd Realty,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
