,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2724,,24 Crescent C095/Multi007,Derry,NH,3038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1880,,23 North End Blvd.,Salisbury,MA,1952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71541707,SLD,148000,125000,6/14/2013,12/15/2016,,1308,1233,204 Wayside Ave,West Springfield,MA,1089,,4,2,2160,111,7840,Russell J. Sabadosa,"Premier Choice Realty, Inc.",(413) 537-0973,"Schedule with ShowingTime or call 888-627-2775, Other (See Special Showing Instructions)","Investors or owner occupied buyers take notice.  Spacious 2 family in central location close to all major highways, shopping and restaurants.  Renovate, remodel, re-imagine! Motivated seller!",,,1,,,,,,,MF,Wayside Ave,204,204,http://media.mlspin.com/photo.aspx?mls=71541707
4,71606829,BOM,499000,,11/10/2013,,,1586,,17 Richards Avenue,North Attleboro,MA,2760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
5,71625349,SLD,215000,190000,1/22/2014,12/15/2016,,984,980,49 Phillips Ave,New Bedford,MA,2746,North,12,6,4308,108,6134,Lori A. Nery,Coastal Realty,(508) 990-4280,Call List Agent,New Bedford North: Great Money Maker for investor or owner occupied!! This 6 family vinyl sided unit has been well maintained through the years !! Each unit has separate utilities that is paid by tenant! Coin op laundry available for tenant's convenience! Large yard with Off street parking !! Don't miss this one!,,,0,,,Lincoln,Normandin,NBHS or VocTec,,MF,Phillips Ave,49,49,http://media.mlspin.com/photo.aspx?mls=71625349
6,71690961,SLD,239900,220000,06/02/2014,12/05/2016,,1175,836,183 Orchard St,New Bedford,MA,2740,West,5,4,3667,188,6534,Linda Silveira,"Gold Star Realty, Inc.",(508) 998-1888,Call List Agent,"Absolutely stunning 1830 Greek Rival owned by Gov. John H. Clifford. Featuring huge 1 & 2 bedroom apartments w/ fireplaced living rooms, gleaming hardwood floors. This beautiful, Historical 4 family could also be converted to a single family, 2 family or 3 family home. New owner could convert the 1st or 2nd floor into a large 3 bedroom apartment and keep two 1 bedroom rentals to help with the mortgage. Remarkable architecture, beautiful common area and off street parking. Too many amenities to list.  Must Be Seen to appreciate.",,,0,,,,,,,MF,Orchard St,183,183,http://media.mlspin.com/photo.aspx?mls=71690961
7,71759870,SLD,69800,76000,10/21/2014,12/19/2016,,344,332,156-158 Drury,Athol,MA,1331,,5,2,2494,108,5940,Anthony Paoletti,Burbank Real Estate,(978) 249-2235,Call List Office,"Duplex style two family.  Perfect for the owner occupant or investor. Home will require some work.  Owner has never occupied property.  Seller will consider a lease/option!!! $3000 down payment. Master lease for $895 per month, sublet for $895, live here virtually for free .   Three months rent deferred in lieu of work to be done.",,,0,,,,,,,MF,Drury,156158,156-158,http://media.mlspin.com/photo.aspx?mls=71759870
8,71787759,ACT,190000,,1/27/2015,,,584,,3 Oak St,Uxbridge,MA,1569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
9,71807860,ACT,2000000,,3/27/2015,,,1090,,82-86 Prospect St,Somerville,MA,2143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
10,71810460,ACT,525000,,04/02/2015,,,1084,,400 Burts Pit Road,Northampton,MA,1062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
11,71834589,ACT,279900,,05/11/2015,,,1044,,76 Cushman Road,Leverett,MA,1054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
12,71860042,SLD,365000,335000,6/17/2015,12/15/2016,,409,227,47 Judson Street,Boston,MA,2125,Dorchester,8,3,3071,113,1583,Benjamin Virga,"Bridgestone Properties, LLC",(617) 269-1206,Other (See Special Showing Instructions),"THIS IS A PROPERTY THAT NEEDS ALL OF THE WORK DONE BUT ONCE DONE IT WILL BE AN AMAZING GEM IN ONE OF THE HOTTEST AREAS AROUND. WITH 14 ROOMS TOTAL AND UNIT 1 AS 4 ROOMS 2 BEDS AND UNITS 2 & 3 AT 5 ROOMS WITH 3 BEDS!!. ALSO, WITH SEPARATE GATED PARKING INCLUDED WITH THE SALE (OWNER ALSO OWNS A 1500 SF LOT ACROSS THE STREET AT 18 DROMEY WITH CEMENT PAD AND GATED ENTRANCE FOR PARKING WHICH IS INCLUDED WITH THE SALE OF THIS PROPERTY) THIS A TRUE DIAMOND IN THE ROUGH. WHILE NOT FOR THE OWNER OCCUPANT OR NOVICE BUYER THIS POTENTIAL RIDDLED PROPERTY IS THE PERFECT OPPORTUNITY TO SEE THE SAVVY INVESTOR CONVERT THIS BUILDING INTO THE TRUE CASH COW IT WAS DESTINED TO BE. IT IS ALSO THE FIRST NON DISTRESSED THREE DECKER TO BE LISTED IN THIS AREA FOR WHAT SEMS LIKE FOREVER SO DONT WAIT, ATTEND THE OPEN HOUSE AND GET STARTED TURNING YOUR SWEAT EQUITY INTO CASH!!!!",,,0,,,,,,,MF,Judson Street,47,47,http://media.mlspin.com/photo.aspx?mls=71860042
13,71860178,ACT,525000,,6/18/2015,,,1007,,31-35 Sawyer St,Methuen,MA,1844,,4,4,2868,118,10800,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"PROPERTY TO BE SOLD ""AS IS"" IN GOOD CONDITION  Unique Multi-Family Situated in an Area of Predominantly SINGLE FAMILY HOMES .       Four (4) One Bedroom Units with All Updated Plumbing & Electrical, Separate Utilities       and Parking Situated Near Hickory Hill Golf Course.          A Record of Recent Sales Activity in the Area Shows a Similar Multi-Family   Property SOLD for $ 525,000            Hurry Now Before Prices Increase Again to Take Advantage of this Tremendous Value.",,,0,,,,,,,MF,Sawyer St,3135,31-35,http://media.mlspin.com/photo.aspx?mls=71860178
14,71868616,SLD,45000,45000,07/06/2015,12/13/2016,,439,439,66-68 Orchard St,Springfield,MA,1107,N End Brightwood,8,3,2392,95,6882,The Acuna Group,Maria Acuna Real Estate,(413) 739-5787,"Lock Box, Appointment Required, Schedule with ShowingTime or call 888-627-2775","Hola! Vinyl sided two family. Six rooms, three bedrooms in each unit. Plus finished third floor with four rooms and full bath for extra room.  Plenty of parking in back of home. Basement with washer dryer hook-ups. One Gas Heat and Gas hot water heaters. Circuit breakers.",,,0,,,,,,,MF,Orchard St,6668,66-68,http://media.mlspin.com/photo.aspx?mls=71868616
15,71869552,SLD,169900,150000,07/07/2015,12/23/2016,,758,420,159 Main St,Charlemont,MA,1339,,4,2.5,3500,0,16988,Timothy Coughlen,Park Square Realty,(413) 789-9830,"Lock Box, Schedule with ShowingTime or call 888-627-2775","Rare opportunity! This building consists of two rented apartments on the 2nd floor which currently bring in $1600 per month income and 1st floor commercial space formerly known as the Curtis country store complete with full kitchen and inventory. The space is ideal for a business of any kind, art gallery, antiques, bike shop etc, as it is located on the scenic Mohawk Trail in the center of Charlemont. Just minutesfrom the Vermont border, Charlemont is known as the recreational hub of the Berkshires. The building sits less than a mile from Berkshire East Ski Resort and within a couple miles of both Zoar Outdoors and Crabapple Whitewater Adventures. In the Autumn and all throughout the year this location is one of the most traveled scenic routes in America sporting magnificent Deerfield River and Berkshire Mountain vistas from every angle. Fishing, biking, hiking, skiing, whitewater rafting, zip-lining and more..a lifestyle others only dream of can be yours while others pay the mortgage!",,,0,,,,,,,MF,Main St,159,159,http://media.mlspin.com/photo.aspx?mls=71869552
16,71875614,ACT,465000,,7/18/2015,,,829,,45 Everett Street,Middleboro,MA,2346,,11,6,3000,118,20000,Matthew Zimmerman,Regent Real Estate,(508) 888-3179,--,"STOREFRONT IN MIDDLEBORO AND FIVE (5) RESIDENTIAL UNITS ABOVE! STRONG, RELIABLE RENTROLL ... HIGH VISIBILITY CORNER LOT LOCATION IN AREA NEEDING A STORE! LIVE AT YOUR BUSINESS OR HOUSE YOUR STORE MANAGER HERE! PROPERTY ALSO HAS LARGE DETACHED 3-CAR GARAGE AS A SEPARATE RENTABLE STRUCTURE. MUCH WORK NEEDED COME MAKE YOUR OWN ASSESSMENT. CLOCKWORK RENTROLL WILL BE INCREASED 10% +/-  BY CURRENT OWNER FOR YOU BEFORE CONVEYANCE *NOTE: 1 OF 5 APARTMENTS RENTED AT DISCOUNT FOR ON-SITE RESIDENT MANAGER, A 10+ YEAR OCCUPANT--- DRIVE-BYS ARE ENCOURAGED AS LOCATION WILL HAVE YOUR WHEELS TURNING -- STORE CONVERSION IT IS SITTING VACANT READY TO GO FOR YOU ! --",,,3,,,,,,,MF,Everett Street,45,45,http://media.mlspin.com/photo.aspx?mls=71875614
17,71878120,SLD,160000,160000,7/23/2015,12/30/2016,,221,221,20 Reynolds St,New Bedford,MA,2740,West,6,3,2729,118,3136,Jose Castelo,ERA Jose S. Castelo Real Estate Inc.,(508) 995-6291,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required, Sign","New Bedford West: Remodeled and de-leaded 3 family with 2 bedroom units with new sheetrock walls and ceilings, new interior doors, new wiring etc. Convenient location with highway access! (228)",,,0,,,,,,,MF,Reynolds St,20,20,http://media.mlspin.com/photo.aspx?mls=71878120
18,71882539,SLD,1490000,1025000,7/31/2015,12/21/2016,,395,381,28-30R Poplar Street,Danvers,MA,1923,Danvers Center,15,10,6000,98,31000,Michael McNiff,Coldwell Banker Residential Brokerage - Beverly,(978) 927-1111,Call List Agent,"BACK ON MARKET !!!Investment opportunity in prime location in the heart of Danvers. Multiple units (10 plus) 4 car garage, 20 car parking, large yard, deleaded, potential expansion. Excellent rental listing with long term tenants, private entrances. Renovated owner unit, positive cash flow. Easy management, with excellent visability and proximity to schools, hospitals, employment centers, highways and shopping malls. Recognizable landmark property. Ask for brochure with financials. ALL OFFERS WELCOMED AND REVIEWED UPON RECEIPT.",,,4,,,Smith,Holten Richmond,Danvers,,MF,Poplar Street,2830,28-30R,http://media.mlspin.com/photo.aspx?mls=71882539
19,71898595,SLD,169000,160000,09/03/2015,12/23/2016,,431,424,405 Lawrence,Lowell,MA,1852,,9,1,2600,68,2270,George Terris,"Dean C. Sarris Real Estate, Inc.",(978) 452-6776,"Call List Office, Call List Agent, Lock Box",Mixed Use - Residential & Commercial  Unit 1 First floor 700 sq ft  with 2 half baths. Presently being used for Retail Space. Has been used as a Restaurant in the past. Unit #2 is a 6 Room 4 bed room second floor apartment.  $2500 bonus to buyers agent for an accepted offer by April 22. Bonus to be paid at closing.,,,0,,,,,,,MF,Lawrence,405,405,http://media.mlspin.com/photo.aspx?mls=71898595
20,71899517,SLD,165000,156000,09/05/2015,12/02/2016,,332,27,41 Delard St,Lowell,MA,1850,,6,2,1850,93,3964,Ofemu Oratokhai,"Home Equity Assets Realty, LLC",(413) 328-0799,--,We are having difficulty gaining access due tenant occupancy.,,,0,,,,,,,MF,Delard St,41,41,http://media.mlspin.com/photo.aspx?mls=71899517
21,71911874,SLD,225000,260000,9/29/2015,12/30/2016,,308,13,35 Witherbee St,Marlborough,MA,1752,,5,3,2210,128,8481,The Pro's Real Estate Team,Keller Williams Realty Greater Worcester,(508) 754-3020,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","***INVESTMENT OPPORTUNITY***  -  SHORT SALE OPPORTUNITY.  All offers must be submitted by 6pm Friday Oct 9th.  This large two family has been renovated within the last 10 years. 1st floor features hardwood floors, large eat-in kitchen, energy star appliances, in-unit laundry, two private rear entrances with sliders and newer windows and doors. 2nd floor has energy star appliances, in-unit laundry, 2 full baths and a sunken bonus room with private sliders to the rear deck.  This house is full of old charm with modern updates.  Needs a little landscaping and exterior cleanup.  Plenty of off-street parking and close to major routes and downtown center.",,,0,,,,,,,MF,Witherbee St,35,35,http://media.mlspin.com/photo.aspx?mls=71911874
22,71916298,SLD,259900,255000,10/08/2015,12/29/2016,,446,438,931 Pleasant Street,Worcester,MA,1602,,4,2,2802,99,4928,Maria Reed,RE/MAX Advantage 1,(508) 757-4200,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Nicely maintained 2 family in desirable westside of Worcester with original details & updates.  Very large open floor plan livingroom /diningroom with hardwoods & high ceilings w/ exposed mahogany beams & built-in china cabinet in dining area.  2 - 3 bedrooms each unit also w/ hardwood floors.  Updates include newer kitchen, baths, & windows.  There are built-in bookcases & large picture windows w/ windowseats, front hall hardwood staircase & bannister, all adding to the character of this lovely home.  Gas heating.  Walk-up unfinished attic.  Great investor or an owner occupant property!  This is a short sale, requiring 3rd party approval.  Home inspection for informational purposes only.",,,0,,,,,,,MF,Pleasant Street,931,931,http://media.mlspin.com/photo.aspx?mls=71916298
23,71918444,SLD,80000,78500,10/13/2015,12/21/2016,,290,290,240-242 East Main,Fall River,MA,2724,,3,4,3649,98,4112,Deb Cordeiro,Harborside Realty,(401) 253-0009,"Call List Office, Call List Agent, Other (See Special Showing Instructions)","Mixed use property, 3 Family with a store front close to St. Anne's Hospital and easy excess to Rt 195 and Rt 24. Great Investment opportunity.",,,0,,,,,,,MF,East Main,240242,240-242,http://media.mlspin.com/photo.aspx?mls=71918444
