0,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2694,,24 Crescent C095/Multi007,Derry,NH,3038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1850,,23 North End Blvd.,Salisbury,MA,1952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,ACT,499000,,11/10/2013,,,1556,,17 Richards Avenue,North Attleboro,MA,2760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71787759,ACT,190000,,1/27/2015,,,554,,3 Oak St,Uxbridge,MA,1569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
5,71807860,ACT,2000000,,3/27/2015,,,1060,,82-86 Prospect St,Somerville,MA,2143,,0,0,19800,88,9265,Richard Fontaine,Good Shepherd Realty,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
6,71810460,ACT,525000,,04/02/2015,,,1054,,400 Burts Pit Road,Northampton,MA,1062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
7,71834589,ACT,299900,,05/11/2015,,,1014,,76 Cushman Road,Leverett,MA,1054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
8,71860178,ACT,525000,,6/18/2015,,,977,,31-35 Sawyer St,Methuen,MA,1844,,4,4,2868,118,10800,Richard Fontaine,Good Shepherd Realty,(413) 222-3472,Owner,"PROPERTY TO BE SOLD ""AS IS"" IN GOOD CONDITION  Unique Multi-Family Situated in an Area of Predominantly SINGLE FAMILY HOMES .       Four (4) One Bedroom Units with All Updated Plumbing & Electrical, Separate Utilities       and Parking Situated Near Hickory Hill Golf Course.          A Record of Recent Sales Activity in the Area Shows a Similar Multi-Family   Property SOLD for $ 525,000            Hurry Now Before Prices Increase Again to Take Advantage of this Tremendous Value.",,,0,,,,,,,MF,Sawyer St,3135,31-35,http://media.mlspin.com/photo.aspx?mls=71860178
9,71875614,ACT,465000,,7/18/2015,,,799,,45 Everett Street,Middleboro,MA,2346,,11,6,3000,118,20000,Matthew Zimmerman,Regent Real Estate,(508) 888-3179,--,"STOREFRONT IN MIDDLEBORO AND FIVE (5) RESIDENTIAL UNITS ABOVE! STRONG, RELIABLE RENTROLL ... HIGH VISIBILITY CORNER LOT LOCATION IN AREA NEEDING A STORE! LIVE AT YOUR BUSINESS OR HOUSE YOUR STORE MANAGER HERE! PROPERTY ALSO HAS LARGE DETACHED 3-CAR GARAGE AS A SEPARATE RENTABLE STRUCTURE. MUCH WORK NEEDED COME MAKE YOUR OWN ASSESSMENT. CLOCKWORK RENTROLL WILL BE INCREASED 10% +/-  BY CURRENT OWNER FOR YOU BEFORE CONVEYANCE *NOTE: 1 OF 5 APARTMENTS RENTED AT DISCOUNT FOR ON-SITE RESIDENT MANAGER, A 10+ YEAR OCCUPANT--- DRIVE-BYS ARE ENCOURAGED AS LOCATION WILL HAVE YOUR WHEELS TURNING -- STORE CONVERSION IT IS SITTING VACANT READY TO GO FOR YOU ! --",,,3,,,,,,,MF,Everett Street,45,45,http://media.mlspin.com/photo.aspx?mls=71875614
10,71898830,SLD,349900,300000,09/04/2015,12/20/2017,,518,518,261 Central St,Hudson,MA,1749,,4,3,2214,118,108825,Jose A Chaves,Partners Realty Group,(508) 205-9783,Other (See Special Showing Instructions),"Great Investment Property, newer addition apartment which has 2 levels perfect for owner occupied.",,,0,,,,,,,MF,Central St,261,261,http://media.mlspin.com/photo.aspx?mls=71898830
