0,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71841982,UAG,3975000,,5/22/2015,,,945,938,846 Sudbury Road,Concord,MA,1742,,5,5.5,7432,117,1062864,"Senkler, Pasley & Dowcett",Coldwell Banker Residential Brokerage - Concord,(978) 369-1000,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Own a piece of Concord’s history with SCENIC LAND and RIVERBANKS seemingly untouched since the days when Thoreau described them in his journals. This 24 ACRE FARM runs along the banks of the Sudbury River with 850 FT OF RIVERFRONT and a BOAT LAUNCH surrounded by hundreds of protected acres stretching to Walden Pond. GRAND, HISTORIC, and ROMANTIC, the property preserves what is most authentic in SHINGLE-STYLE ARCHITECTURE in a pristine,19th century landscape. The combination of proximity to river frontage and conservation land, with easy access to Route 2 and the commuter rail in Concord center, makes this property a UNIQUE and HIGHLY DESIRABLE offering.",Colonial,1,2,"Central Heat, Forced Air, Oil",,Willard,Peabody-Sanborn,CCHS,"Basement:Yes;Fireplaces:6;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Wall Oven, Dishwasher, Countertop Range, Refrigerator;Foundation:Poured Concrete, Fieldstone;Construction:Frame;Exterior:Shingles, Wood, Stucco;Exterior Features:Porch, Porch - Enclosed, Deck, Deck - Wood, Patio, Balcony, Gutters, Paddock, Decorative Lighting, Screens, Drought Tolerant/Water Conserving Landscaping;Insulation:Mixed;Electric:Circuit Breakers, Other (See Remarks);Interior Features:Security System, French Doors;Hot Water:Oil;",SF,Sudbury Road,846,846,http://media.mlspin.com/photo.aspx?mls=71841982
2,71850156,UAG,239000,,06/03/2015,,,495,495,139 Barneyville Rd,Swansea,MA,2777,,3,2,1144,32,30056,Gil M. Diniz,Prestige Realty Experts Inc.,(508) 672-9222,Call List Agent,"Beautifully maintained home ready to move in. Situated in quiet area with nursery across the street, with open views and water in the distance. All appliances are included in the sale. Large open back yard great for children and family gatherings. Previous in-law in lower level owner removed the kitchen although pluming and electric is still available ready to re-install if desired. Short sale required and has been approved. .",Raised Ranch,,1,"Hot Water Baseboard, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Deck - Wood;Insulation:--;Electric:220 Volts, 100 Amps;Interior Features:--;Hot Water:Oil;",SF,Barneyville Rd,139,139,http://media.mlspin.com/photo.aspx?mls=71850156
3,71906594,UAG,500000,,9/18/2015,,,833,817,144 Red Acre Rd,Stow,MA,1775,Lower Village ,3,1.5,1032,33,2166674,Kathleen Fisher,Fisher And Associates,(978) 897-3633,"Accompanied Showings, Appointment Required, Schedule with ShowingTime or call 888-627-2775","STOW ~ Home is in need of major repairs & set on 49 Acres. Buildings & Stable are in need of a lot of repair. The Roof collapsed on the riding rink. There is a pretty pond &trails.  Located near the Acton train for commuting. So Many possibilities with a well that produces 300 gallons a minute, large enough to service many homes or Perfect for an community well. Call for more information. Would make a great farm business or just a wonderful home near natures beauty. This rare property Abuts Conservation land, the town of Stow community garden and has road frontage on Tuttle Lane.",Contemporary,,0,None,,Center,Hale,Nashoba,Basement:Yes;Fireplaces:0;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Red Acre Rd,144,144,http://media.mlspin.com/photo.aspx?mls=71906594
4,71920548,UAG,509900,,10/17/2015,,,805,796,2 Waterford Circle--MODEL HOME,Dighton,MA,2715,,3,2.5,2384,3,16140,JoAnn Drabble,RE/MAX Welcome Home,(508) 823-2700,Schedule with ShowingTime or call 888-627-2775,"PLEASE USE GPS 1590 PINE STREET.  THIS IS THE MODEL HOME.  ""The Fairfield"".  Lot 41.  It is ""stunning"" and offers all ""bells and whistles""!  You must see for yourself what Dighton has to offer.  Welcome to “Stoney Ridge Estates”, Dighton’s premier subdivision minutes to all highway routes to Providence & Boston (Route 24, 44 & I-195). Located under six miles from Exit 11 (Padelford St.) off Route 24, you will appreciate the ease of commuting to & from the place you call “home”.  The neighborhood offers luxurious home sites that are enveloped with glorious woodlands. You will admire the awesome curb appeal as you enter the neighborhood decorated with plentiful flowering shrubs & perennials, a recreational park to enjoy on a warm, sunny day, & sidewalks to stroll! This neighborhood is a “one-of-kind” & offers six model floor designs ranging from 1,762 to 2,384 square feet.  Pricing varies depending on size & model floor design selection.",Colonial,,2,"Forced Air, Gas",,Dighton Elem.,Dighton Middle,Dighton/Rehob.,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl, Stone;Exterior Features:Porch, Deck, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting, Screens;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Electric, Tank;",SF,Waterford Circle--MODEL HOME,2,2,http://media.mlspin.com/photo.aspx?mls=71920548
5,71985311,UAG,2150000,,04/08/2016,,,614,601,10 Stagecoach Lane,Dover,MA,2030,,6,6.5,7600,2,"73,029.63",Lorraine Sarafian,Calumet Real Estate LLC,(508) 359-6062,"Call List Agent, Accompanied Showings, Appointment Required","New construction near end of cul-de-sac adjacent to conservation land and walking trails.  This beautiful home offer traditional design with superior craftsmanship.  First floor features include a spacious gourmet kitchen with center island and professional appliances, a breakfast nook, a dining room with trey ceiling and butlers pantry, a family room with gas fireplace and sliders leading to patio, a living room with gas fireplace and coffered ceiling, a study with access to full bath, an oversized mudroom and 3 car garage.  Second floor offers large master suite with walk in closets and luxurious bath, 2 en-suite bedrooms with walk in closets, 2 additional bedrooms with shared bath and walk in closets, a spacious loft area and a large laundry room.  Third floor offers 6th bedroom with den area and full bath.   Finished lower level and a private yard which abuts conservation land.  Choose the finishing touches to make this home yours.  Excellent school system and close to major routes","Colonial, Cape",1,3,"Forced Air, Propane",,Chickering,Dover Sherborn,Dover Sherborn,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Microwave, Countertop Range, Refrigerator, Vacuum System - Rough-in;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Patio, Professional Landscaping, Sprinkler System;Insulation:Full;Electric:Circuit Breakers;Interior Features:Walk-up Attic;Hot Water:Electric;",SF,Stagecoach Lane,10,10,http://media.mlspin.com/photo.aspx?mls=71985311
6,72008540,UAG,4200000,,3/19/2016,,,1223,643,39 Juniper Point Rd,Falmouth,MA,2543,Woods Hole,10,6,7054,138,87000,Paul E. Grover,"Robert Paul Properties, Inc",(508) 420-1414,"Call List Agent, Appointment Required","A rare find in the heart of Woods Hole! Set on a commanding site with unparalleled panoramic views over Vineyard Sound, Great Harbor and Little Harbor sits this storied Victorian home on two acres of land with beach and dock rights. Large light filled gathering rooms, ten bedrooms, three levels of living space and a four story tower set the scene for magical summer days with family and friends. Relax under mature trees harboring quiet, secluded spots or play lawn games on the sweeping sunny grounds. This private estate is located within walking distance to the dynamic village of Woods Hole and ferry access to the islands.","Victorian, Antique",1,0,"Steam, Gas",,,,,"Basement:Yes;Fireplaces:7;Roof:Wood Shingles;Floor:Wood, Tile, Hardwood;Appliances:--;Foundation:Fieldstone, Brick;Construction:--;Exterior:Shingles, Wood;Exterior Features:Porch, Porch - Screened, Deck, Deck - Roof, Covered Patio/Deck, Balcony, Fruit Trees;Insulation:--;Electric:--;Interior Features:Security System, Walk-up Attic, French Doors;Hot Water:Natural Gas;",SF,Juniper Point Rd,39,39,http://media.mlspin.com/photo.aspx?mls=72008540
7,72013696,UAG,1275000,,5/31/2016,,,572,572,370 Goss Lane,Lancaster,MA,1523,,4,2.5,3215,13,1474070,Ginette Brockway,Keller Williams Realty Boston Northwest,(978) 369-5775,"Accompanied Showings, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Move in and enjoy! PRICED WELL BELOW REPLACEMENT COST! This stunning horse farm, built in 2005,  is 1 hr from Boston, on 33 acres! Complete equestrian facility will meet the requirements of the most discerning equestrian.  Bring your horses home! Gorgeous house with open floor plan and tons of glass to soak in the views! Hardwood floors, soaring ceilings, 1st fl master suite. Lower walk out level recently finished. State of the art barn w/ 20 stalls (12x14), auto waterers, heated tack rm and office, 1/2 bath, grain rm, wash stall, grooming stall & indoor arena, (85x200). Outdoor arena, sprinkler system (120x200), 17 paddocks. Barn is on separate meters for heat and electricity and stalls can be leased to trainer for additional income stream!  Close to shops,10 min-Rts 2 & 495.",Contemporary,1,2,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Wall Oven, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Wood, Barn/Stable, Paddock, Fenced Yard, Horses Permitted;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Propane Gas;",SF,Goss Lane,370,370,http://media.mlspin.com/photo.aspx?mls=72013696
8,72022432,CTG,1749000,,6/13/2016,,,533,531,8 Willow St,Dover,MA,2030,,4,5.5,6398,5,43560,Jay Hughes,Dover Country Properties Inc.,(508) 785-1550,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Nearly new and beautifully sited on private landscaped acre this custom built residence is minutes to Wellesley/Needham. Dramatic detailed two story entry foyer leads to FP living room and dining room combination. FP familyroom opens to fantastic private screened porch overlooking level rear yard. Gorgeous, ideally executed kitchen, offers custom cabinetry, granite counter tops, ss appliances, center island, pantry plus dining area! Rear hall from 3 car attached garage offers large mudroom with custom cubbies and bench! The  second floor foyer offers open space with window seat and bookshelves. Master bedroom suite, ultra bath double vanity, soaking tub, separate oversized shower, 3 closets and all opening to a private outside balcony! In addition 3 en-suite bedrooms plus office/den.. Lower level with playroom, gym, billiard room, recreation area with wet bar and full bath! A bright and open interior, exceptional opportunity and location! Easy access to train, major routes.",Colonial,1,3,"Forced Air, Heat Pump, Propane",,Chickering,Dover-Sherborn,Dover/Sherborn,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Vacuum System, Vent Hood;Foundation:Poured Concrete;Construction:Frame, Stone/Concrete;Exterior:Shingles, Stone, Fiber Cement Siding;Exterior Features:Porch - Screened, Deck, Deck - Roof, Patio, Balcony, Professional Landscaping, Sprinkler System, Garden Area, Stone Wall;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:Propane Gas, Tank;",SF,Willow St,8,8,http://media.mlspin.com/photo.aspx?mls=72022432
9,72025706,UAG,399900,,6/20/2016,,,556,536,43 Pondview Dr,Hampden,MA,1036,,3,2,1788,40,136343,Colleen Westberg,Coldwell Banker Residential Brokerage - Longmeadow,(413) 567-8931,"Call List Agent, Lock Box, Appointment Required, Sign","Stunning contemporary hideaway overlooking Gleason Pond! Fabulous soaring interior spaces with views of nature all around. Take your pick for either a first-floor master with a split-bath, double vanity sinks or second-floor master suite that has a private bath and loft. Quarter-Sawn Ash floors extend throughout the house with exception of white ceramic tile bathroom floors. The great room with a floor to ceiling fireplace opens to a sparkling kitchen with great lighting, a Jennair cooktop, built-in dishwasher, wall oven, microwave and breakfast bar. Come see this special chalet set on three acres of heavenly privacy!",Contemporary,,2,"Hot Water Baseboard, Oil",,Greenmeadow,ThorntonBurgess,MRHS,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:--;Exterior:Wood;Exterior Features:Deck - Wood, Gutters, Screens;Insulation:Mixed;Electric:Circuit Breakers, 150 Amps;Interior Features:Central Vacuum, Cable Available;Hot Water:Tankless;",SF,Pondview Dr,43,43,http://media.mlspin.com/photo.aspx?mls=72025706
10,72030996,CTG,269000,,6/29/2016,,,600,582,265 Ridge Rd,Worthington,MA,1098,Worthington Center ,4,2.5,2400,25,191664,James A. Molyneux,Molyneux Realty,(413) 238-5324,"Call List Office, Call List Agent, Key in Office, Accompanied Showings, Appointment Required, Sign, Pets on Premises","A very unique property. Original center chimney, 2 bed room, colonial style home with wide board flooring and wonderful view from the early 80's. This gave way to another larger single family home at which time the first house became office, warehouse, storage space for a home based business. Current newer single family is energy efficient beautifully laid out with open floor plan. Large kitchen with Island and dining area off. There is a wonderful living room with large deck that looks east over the Hampshire Hills 3-4  upstairs bed rooms with full bath and laundry. Vaulted ceilings and great view. The basement is partially finished with tile floor and pool table. One 4.4 acre lot, great views, quiet location, Both structures need some work having been rented and neglected for a short term but are now in good shape and ready for the finishing touches. Rare opportunity where you really get 2 for LESS than the price of one. Come see for yourself","Colonial, Contemporary",1,0,"Central Heat, Hot Water Baseboard, Radiant, Propane",,RH Coneell,Hampshire Reg,Hampshire Reg,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Laminate;Appliances:Wall Oven, Dishwasher, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Shingles, Wood;Exterior Features:Porch, Deck;Insulation:Full, Fiberglass, Loose, Mixed, Unknown;Electric:110 Volts, 220 Volts, 200 Amps;Interior Features:Central Vacuum;Hot Water:Propane Gas, Tank;",SF,Ridge Rd,265,265,http://media.mlspin.com/photo.aspx?mls=72030996
