,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71425748,SLD,69900,50000,8/22/2012,2/4/2016,,1077,1077,594-596 Kempton St,New Bedford,MA,02740,West,4,2,1984,95,1888,Linda Silveira,"Gold Star Realty, Inc.",(508) 998-1888,Call List Agent,Great price!  2 bedroom apartments .  Needs exterior work and some interior updates.,,,0,,,,,,,MF,Kempton St,594596,594-596,http://media.mlspin.com/photo.aspx?mls=71425748
2,71475884,ACT,874900,,1/25/2013,,,2726,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
3,71475957,ACT,350000,,1/25/2013,,,1882,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
4,71545550,SLD,109900,110000,6/21/2013,2/29/2016,,613,566,20 Saint Marys Sq,Taunton,MA,02780,,6,2,2184,118,3920,Andy Saviolakis,RE/MAX Welcome Home,(508) 823-2700,Schedule with ShowingTime or call 888-627-2775,"Agents- please see MLS Firm Remarks before calling office.  We had an approved short sale and we plan on doing it again!  Two Family Home with Huge Potential!  Each unit features three bedrooms, hardwood flooring, large windows and french doors. Conveniently located near shopping, schools and major routes. Reason back on market:  freezing pipes right before closing.  Buyer decided not to buy because of it.  Property has since been vandalized.  . Because of the unknowns, this will require a cash buyer or a construction/ 203k loan.",,,0,,,,,,,MF,Saint Marys Sq,20,20,http://media.mlspin.com/photo.aspx?mls=71545550
5,71590089,SLD,249900,249900,9/28/2013,2/26/2016,,461,461,8 Water St,Freetown,MA,02702,Assonet,3,3,2756,238,52272,Ted  Higginson,Rezendes Real Estate,(508) 644-2500,"Call List Agent, Accompanied Showings, Appointment Required",RARE THREE FAMILY HOME IN HISTORIC ASSONET FOUR CORNERS!   Great for owner occupied or investor.  Two units on the first floor and one unit on the second.  Walk up attic.  All units have separate laundry.  Large lot.  Double garage and two other out buildings.  Separate driveways.  Plenty of off street parking.  New roof.  New boiler . Freshly painted exterior.  Wonderful buy with the interest rates so low.,,,2,,,Frtwn/Lkvl,Frtwn/Lkvl,Apponequet,,MF,Water St,8,8,http://media.mlspin.com/photo.aspx?mls=71590089
6,71606829,BOM,499000,,11/10/2013,,,1588,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
7,71686314,SLD,749900,695000,5/23/2014,2/12/2016,,550,438,204 Main St,Williamsburg,MA,01039,Haydenville,6,2,1913,118,13068,Joanne McGowan,Coldwell Banker Upton-Massamont REALTORS®,(413) 665-3771,"Call List Agent, Appointment Required, Sign","Currently used as a two-family, the mixed use zoning on this property opens up a number of options for home business, or possibly a commercial venture with a special permit. The location is ideal; with frontage right on Rt. 9 for signage, a busy bakery/café directly behind, and right on the Northampton/Williamsburg town line. Each unit has 3 bedrooms, with some hardwood floors and replacement windows. The architectural shingle roof was installed in 2009. Town water and sewer.  BEING SOLD WITH #206 Main Street which includes over 8000 sq ft of mixed commercial and residential units, plus parking for 55 cars.",,,0,,,,,,,MF,Main St,204,204,http://media.mlspin.com/photo.aspx?mls=71686314
8,71707037,SLD,249000,228000,6/30/2014,2/23/2016,,454,443,883 Ocean St.,Marshfield,MA,02050,,3,2,1288,95,2800,Brian Molisse,Molisse Realty Group,(781) 837-5600,"Call List Office, Appointment Required","Great investment!!!!!! Conveniently located 2 Family with easy care vinyl exterior. Live in one unit and rent the other! Established rental history. First floor unit has 1 bedroom, living room, and kitchen.  Second floor unit has 2 bedrooms, living room, kitchen, small deck. Gas heat. Laundry hookup in 1st floor apt. only. Off street parking. Close to beaches. Seller offering $3,000 carpet allowance!",,,0,,,,FBMS,MHS,,MF,Ocean St.,883,883,http://media.mlspin.com/photo.aspx?mls=71707037
9,71734987,SLD,189900,170000,8/28/2014,2/12/2016,,470,470,968 Bay Street,Fall River,MA,02724,,8,3,2328,113,8897,David  Raymondo,Anchor Realty,(508) 678-3770,Call List Office,"WHAT A OPPORTUNITY FOR AN INCOME QUALIFIED FIRST TIME HOME BUYER !!!! CALL TODAY !!      3-Family home. Second and Third floors have been renovated. Lead free certificates. First and Second floor are 3 bedroom/units. Third floor has 2 bedrooms and a den. This property is part of the Housing and Urban Development HOME PROGRAM. See attached file for qualifications, program guidelines & income guidelines. Owner occupied required. Must be a first time homebuyer. Also to qualify as a first time homebuyer, you could not have owned or purchased a property within the last 3 years. Must take a first time homebuyer class. Must apply for down payment assistance. Deed restrictions exist .(see attached deed restrictions). Also, attached is a document in reference to a strip of land.    PLEASE SEE INCOME LIMITS AND RETRICTIONS BEFORE SHOWING  Property sold with first floor tenant occuppied .",,,0,,,,,,,MF,Bay Street,968,968,http://media.mlspin.com/photo.aspx?mls=71734987
10,71751879,SLD,210000,208000,10/2/2014,2/16/2016,,384,324,430 Harding St,Worcester,MA,01610,,9,3,4491,118,4826,Julia Acquaah-Harrison,Hope Realty and Associates LLC,(508) 795-3885,"Call List Office, Call List Agent","A well maintained 3 family featuring hardwood floors, replacement windows, living room, dinning area, kitchen and 3 decent  size bedrooms. House needs roof, may need the furnace to be replaced and kitchens and baths updated. Bring all offers.",,,1,,,,,,,MF,Harding St,430,430,http://media.mlspin.com/photo.aspx?mls=71751879
