,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71652184,UAG,214700,,3/31/2014,,,680,143,21 Henry Street,Mansfield,MA,02048,,3,1.5,1267,68,7500,Lori Hagman,Reis Real Estate & Company Inc.,(508) 697-8808,Other (See Special Showing Instructions),"SHORT SALE LENDER APPROVAL NEEDED. CAPE IN A NEIGHBORHOOD SETTING, FRONT ROOF 10 YEARS OLD, BACK ROOF 15 YEARS OLD, FURNACE 8 YEARS OLD, HOT WATER HEATER 8 YEARS OLD. LOCATED CLOSE TO SHOPPING AND HIGHWAY. EASY TO SHOW, ON LOCK BOX. SEE ATTACHMENT FOR SELLERS DISCLOSURE AND LEAD PAINT DISCLOSURE.",Cape,1,1,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet, Hardwood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck - Wood, Gutters;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Natural Gas;",SF,Henry Street,21,21,http://media.mlspin.com/photo.aspx?mls=71652184
2,71866515,CTG,875000,,6/30/2015,,,953,924,866 Main Street,West Newbury,MA,01985,,4,1,2008,138,392040,Valerie R. McGillivray,Bean Group,(978) 572-2054,"Call List Agent, Accompanied Showings, Appointment Required","CONTINUING TO SHOW FOR BACK UP ...Iconic landmark in West Newbury... Once a very charming farmhouse with some nice details, it now needs a total rehab. It is currently farmed, and has produced flowers, produce, and more for the local community for generations. This would again be a wonderful equestrian property or fine estate with almost 10 acres of land and several outbuildings that need work, but with lots of interesting features to this property. There is also great potential for development with 1/2-acre zoning, town water, and close proximity to commuter routes and the Merrimack River. Listed separately as land, see MLS 71866516. Property to be sold as-is.  Several ANR lots possible making recouping most of the purchase price an option , and use the remainder of the land for your farm...Septic system in place for 4 BR , installed in recent years , house would lend nicely to an addition on rear for a 1 BR apt also . Lots of options on this beautiful property  in West Newbury !","Victorian, Farmhouse",1,0,Other (See Remarks),,W. Newbury,Pentucket Reg,Pentucket Reg,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Other (See Remarks);Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Storage Shed, Barn/Stable, Paddock, Garden Area, Horses Permitted;Insulation:Unknown;Electric:Other (See Remarks);Interior Features:Cable Available;Hot Water:Other (See Remarks);",SF,Main Street,866,866,http://media.mlspin.com/photo.aspx?mls=71866515
3,71917535,UAG,499000,,10/10/2015,,,130,100,147 Old Post Road,Sharon,MA,02067,,4,3.5,3102,43,91761,Michele Saulnier,Keller Williams Realty Boston South West,(781) 251-2101,"Call List Agent, Accompanied Showings, Sign","Over-sized Ranch Style home with 3100sqft of living space that sits on 2.11Acres. Lot has long private driveway, tennis court, pool, over-sized shed/pool house, and brick patio. Photos shown are of the lower level of the home which include the family room with stone fireplace, bar area, 4th bedroom, and full bathroom. First floor includes living room w/fireplace, dining room, large kitchen with fireplace, eating area with sliders that lead to backyard, three bedrooms, bathrooms, and laundry room with half bath. Addition room w/closet off kitchen perfect for home office or in-law suite. Seller is willing to review any/all Offers. Home is being Sold ""AS IS"", Priced Under Assessed Value acknowledging updates/repairs needed. Home is occupied by family - Please do NOT walk the property without an appointment with Listing Agents. No Public Open Houses - Private Showings Only. Ask about our creative Financing options for a Renovation Loan.",Ranch,1,2,"Forced Air, Oil",,Heights,Sharon Middle,Sharon High,Basement:Yes;Fireplaces:2;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:Brick;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Old Post Road,147,147,http://media.mlspin.com/photo.aspx?mls=71917535
4,71918165,UAG,299000,,10/13/2015,,,579,121,82 Atlantic Ave,Hull,MA,02045,,3,1.5,1247,158,3440,Justine Augenstern,Coldwell Banker Residential Brokerage - Hull,(781) 925-1384,"Call List Office, Accompanied Showings","Waterfront - on Crescent Beach. Rare oceanside mooring area. Large coveted neighborhood beach. Dwelling uninhabitable. Build on footprint (to keep basement) or need variance to expand structure (which may require raising to FEMA regs). Buyer's agents not allowed on property without listing agent. Survey and elevation certificate attached, bring your architect and build your dream home here!",Colonial,,0,None,,,,,Basement:Yes;Fireplaces:1;Roof:--;Floor:--;Appliances:--;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Atlantic Ave,82,82,http://media.mlspin.com/photo.aspx?mls=71918165
5,71952101,UAG,499900,,1/25/2016,,,22,22,20 Oak Leaf Lane,Easton,MA,02356,,4,2.5,3700,13,16876,Charles Lima,Keller Williams Realty,(508) 238-5000,Schedule with ShowingTime or call 888-627-2775,"Short sale , Big colonial in Easton 10 rooms 4 beds 2.5 baths located off of Chestnut street . Quiet area, See disclosures for short sale. Buyer to assume any and all unpaid water and back taxes and past owed HOA fees",Colonial,1,2,"Forced Air, Oil",,,,,Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;,SF,Oak Leaf Lane,20,20,http://media.mlspin.com/photo.aspx?mls=71952101
6,71967092,CTG,2988000,,3/3/2016,,,750,746,7 Regency Ridge,Andover,MA,01810,,5,6,8806,16,148406,The Peggy Patenaude Team,William Raveis R.E. & Home Services,(978) 475-5100,Call List Office,"Privately tucked away and strategically sited on over 3 acres of lush, professionally landscaped level land, in one of Andover's most prestigious neighborhoods, you will be absolutely charmed by the casual elegance of this custom built home. Gorgeous private lot abutting conservation land provides the perfect setting for this French Country style, all brick home. Curved paver driveway, natural stone landscaping, tennis court, PLUS fabulous yard. Every detail of this home was carefully designed as a meritage of the highest of quality, creating a warm feeling of home. Perfect for entertaining, the open floor plan is ideal for gatherings with flow from the 2-story Great room to Living room & Billiard room w/ custom wet bar & a double-sided fieldstone fireplace. The beautifully finished LL includes an amazing wine cellar, media area & gym. Desirable Regency Ridge is THE ideal location for accessibility to Pike, Phillips, & South/Doherty school district. NOT cookie cutter - MUST BE SEEN!",Colonial,1,3,"Radiant, Gas, Hydro Air",,South,Doherty,AHS,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood, Stone / Slate;Appliances:Wall Oven, Dishwasher, Disposal, Compactor, Microwave, Countertop Range, Refrigerator, Washer, Dryer, Refrigerator - Wine Storage, Vacuum System, Vent Hood, Water Instant Hot;Foundation:Poured Concrete;Construction:Brick;Exterior:Brick;Exterior Features:Patio, Covered Patio/Deck, Tennis Court, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting, Screens, Stone Wall;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, Wetbar, Walk-up Attic, French Doors, Wired for Surround Sound;Hot Water:Natural Gas, Tank;",SF,Regency Ridge,7,7,http://media.mlspin.com/photo.aspx?mls=71967092
7,71982243,CTG,1650000,,4/4/2016,,,713,702,161 Atlantic Ave,Cohasset,MA,02025,,8,5.5,4400,113,60548,Jerome Tosi,"WEICHERT, REALTORS &reg; - The Chase Team",(781) 545-7900,"Call List Agent, Appointment Required, Sign","MAJOR PRICE REDUCTION. MOTIVATED SELLER!  ONE-OF-A-KIND-ESTATE ON COHASSET'S GOLD COAST! A wonderful turn-of-the century estate compound on 1.39 Acres of elevated land with spectacular water views from most rooms will help create memories that will last a lifetime. Architecturally significant, this home offers a large carriage house with apartment, its own private cabana on one of two private deeded beaches, 2 covered porches for inclement weather entertaining, and 4 sleeping porches that your guests will love during the summer months! There's even an expansive roof deck with glorious 270 degree views  just ready for your private sunning. Updating and your personal touches, will embellish its untouched 1905 detailing that appears to be in like new condition! Sophisticated and knowledgeable buyers will appreciate and respect the history of the estate as well as its incredible opportunity. Bring Offers!","Colonial, Antique, Villa, Carriage House",1,2,None,,"Osgood,Dr Hill",CMS,CHS,"Basement:Yes;Fireplaces:4;Roof:Asphalt/Fiberglass Shingles, Tile, Slate;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Fieldstone, Granite;Construction:Frame;Exterior:Wood, Stucco;Exterior Features:Porch, Porch - Enclosed, Porch - Screened, Deck, Deck - Roof, Deck - Wood, Patio, Covered Patio/Deck, Cabana, Gutters, Professional Landscaping, Garden Area, Outdoor Shower, Stone Wall;Insulation:None;Electric:110 Volts, Fuses, Circuit Breakers, 100 Amps, Knob & Tube Wiring;Interior Features:--;Hot Water:Natural Gas, Tank;",SF,Atlantic Ave,161,161,http://media.mlspin.com/photo.aspx?mls=71982243
8,72007993,CTG,1599999,,5/18/2016,,,673,670,7 Singletary Way,Hopkinton,MA,01748,,4,4.5,4950,2,50094,Kelly Kassab,Hallmark Sotheby's International Realty,(508) 435-9200,"Call List Agent, Accompanied Showings, Appointment Required","Brand New Highland Park construction in heart of coveted neighborhood is move in ready! Remarkable land abuts open space at top of cul de sac. 4 Bdrms, 4.5 Baths, 4950SF, 5 berm septic. 9-11' ceilings, Front & Side Covered Blue Stone Porches, Stunning ledge stone and exterior recessed lighting. 2-story great room flows elegantly with timeless kitchen, sub-zero/wolf appliances, wine & beverage coolers, miele dishwasher, enormous island, chef’s pantry, butler stations, coffered ceiling dining room and coffered executive study. 2-Story Great room, surround sound & home theater package, security surveillance. Beautiful millwork & generous upgrades. Master retreat: Juliette balcony, spa like bathroom, rain shower, soaking tub with radiant tile floors, grand dressing closet and 2nd fireplace. All bedrooms with vaulted ceilings, walk-in closets, private baths,Entertain inside & out! Nearby Hopkinton State park, lake, hiking trails, near commuter train & all major connections 495/90/RT9",Colonial,1,3,"Central Heat, Forced Air, Propane, ENERGY STAR",,"Center, Elmwood",Hopkins,Hopkinton High,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Hardwood, Stone / Slate;Appliances:Range, Wall Oven, Dishwasher, Microwave, Refrigerator, Refrigerator - Wine Storage, Vacuum System;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood, Stone, Fiber Cement Siding;Exterior Features:Porch, Deck - Composite, Patio, Covered Patio/Deck, Balcony, Gutters, Professional Landscaping, Sprinkler System, Screens, Garden Area, Stone Wall;Insulation:Full, Fiberglass, Blown In, Unknown, Fiberglass - Batts, Other (See Remarks);Electric:200 Amps, Other (See Remarks);Interior Features:Central Vacuum, Security System, Cable Available, Wetbar, French Doors, Wired for Surround Sound;Hot Water:Propane Gas;",SF,Singletary Way,7,7,http://media.mlspin.com/photo.aspx?mls=72007993
9,72013696,CTG,1275000,,5/31/2016,,,584,572,370 Goss Lane,Lancaster,MA,01523,,4,2.5,3215,13,1474070,Ginette Brockway,Keller Williams Realty Boston Northwest,(978) 369-5775,"Accompanied Showings, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Move in and enjoy! PRICED WELL BELOW REPLACEMENT COST! This stunning horse farm, built in 2005,  is 1 hr from Boston, on 33 acres! Complete equestrian facility will meet the requirements of the most discerning equestrian.  Bring your horses home! Gorgeous house with open floor plan and tons of glass to soak in the views! Hardwood floors, soaring ceilings, 1st fl master suite. Lower walk out level recently finished. State of the art barn w/ 20 stalls (12x14), auto waterers, heated tack rm and office, 1/2 bath, grain rm, wash stall, grooming stall & indoor arena, (85x200). Outdoor arena, sprinkler system (120x200), 17 paddocks. Barn is on separate meters for heat and electricity and stalls can be leased to trainer for additional income stream!  Close to shops,10 min-Rts 2 & 495.",Contemporary,1,2,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Wall Oven, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Wood, Barn/Stable, Paddock, Fenced Yard, Horses Permitted;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Propane Gas;",SF,Goss Lane,370,370,http://media.mlspin.com/photo.aspx?mls=72013696
10,72015088,CTG,985000,,6/1/2016,,,660,652,124 Bogastow Brook Rd.,Sherborn,MA,01770,,5,3.5,4315,40,257004,Global Solutions Team,Berkshire Hathaway HomeServices Town and Country Real Estate,(508) 655-2155,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Peace and quiet abound in this rustic and refined 5.9 acre equestrian home and 4 stall barn. This Custom Gambrel has 5 bedrooms, 3.5 baths and master suite. The second floor features a workout room and five bedrooms including an en suite area with a fireplace and wet bar perfect for a master suite alternative, au pair, in-law or teen hideaway.  An oak and granite dine in kitchen opens to a spacious front to back family room with a fireplace, wet bar and sliders to a 3 season porch overlooking serene perennial gardens. Bring your horses home to the well appointed barn this property has to offer. Paved aisle, heated tack room w/sink and stairs to ventilated hay loft. Find 3+ paddocks and riding ring with direct access to the Sherborn Trail System. This well maintained home has a 3 car garage, and an inviting in ground heated gunite pool. All to be found in horse friendly Sherborn with one of the top rated school systems. Perfect for the equestrian family of today.","Colonial, Gambrel /Dutch",1,3,"Electric Baseboard, Electric",,Pine Hill,Dover Sherborn,Dover Sherborn,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles, Other (See Remarks);Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator, Freezer, Washer, Dryer, Vacuum System;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Clapboard, Shingles, Brick;Exterior Features:Porch - Enclosed, Patio, Pool - Inground Heated, Storage Shed, Barn/Stable, Paddock, Professional Landscaping, Decorative Lighting, Screens, Fenced Yard, Fruit Trees, Garden Area, Horses Permitted;Insulation:Full;Electric:Circuit Breakers, Other (See Remarks);Interior Features:Central Vacuum, Security System, Cable Available, Wetbar, Intercom, Walk-up Attic, French Doors;Hot Water:Electric, Tank, Other (See Remarks);",SF,Bogastow Brook Rd.,124,124,http://media.mlspin.com/photo.aspx?mls=72015088
