,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71731026,SLD,259900,225000,8/18/2014,02/01/2016,,479,479,458 Madison St,Fall River,MA,2720,,8,2.5,3072,118,7602,Kenneth A Mongeon,KAM Realty,(508) 677-1600,Call List Agent,"Gracious, Historic Highlands Colonial features 3 stories, 12 rooms, 8 bedrooms, 2 1/2 baths.  Magnificent, gourmet kitchen with granite countertops, recessed lighting, custom made cabinets, abundance of workspace, huge island, walk-in storage; formal dining room; fireplaced sitting room; plenty of closet space; hardwood floors; lots of original woodwork; fenced in backyard.  Convenient to schools, Houses of Worship, shopping, parks, medical facilities, public transportation, and highways.",Colonial,,0,"Steam, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:--;Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Aluminum;Exterior Features:Porch, Fenced Yard;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;",SF,Madison St,458,458,http://media.mlspin.com/photo.aspx?mls=71731026
2,71761975,SLD,2799000,2600000,10/27/2014,02/01/2016,,309,280,174 Valentine Street,Newton,MA,2465,,5,3.5,3819,96,60083,Judy Miller,Coldwell Banker Residential Brokerage - Newton - Centre St.,(617) 969-2447,Call List Agent,"West Newton Hill home situated on a huge 1.38 acre lot. This impeccably maintained CE Brick Colonial is easily modifiable and appealing to the discerning modern buyer. Boasting artisan quality craftsmanship, beautiful tiled entry leads to sunny LR w/fp and cozy four season sunroom with two sets of French drs to 2 patios. A great den with ½ bath with exterior access. Lge butler’s pantry with vintage cabinetry, EIK and elegant dining room. Second flr. has MBR with fp and two additional bedrooms,two separate baths. Lg. Laundry room easily convertible for another bedroom. Third flr with two bedrooms and full bath.  Full bsmnt with sep access. Heated two bay garage with add’l lge storage bay. Property has been surveyed to allow for a subdivision creating a new 25,920 sq.lot. Keep as a single parcel and create fabulous gardens, or pool/tennis courts. Incredible location for commuters!",Colonial,1,2,"Central Heat, Hot Water Radiators, Gas",,Pierce,,Newton North,"Basement:Yes;Fireplaces:3;Roof:Slate, Rubber;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Brick;Exterior:Brick;Exterior Features:Patio, Professional Landscaping;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;",SF,Valentine Street,174,174,http://media.mlspin.com/photo.aspx?mls=71761975
3,71794677,SLD,339900,345000,2/24/2015,02/01/2016,,132,111,36 Pleasant Street,Plainville,MA,2762,,3,2.5,1664,4,21780,Trish Bergevine,Berkshire Hathaway HomeServices Page Realty,(508) 384-3435,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","BRAND NEW CONSTRUCTION TOWN HOME W/NO CONDO FEE.... Are you looking for a three bedroom,  2.5 bath home w/ garage?  Then this new construction is for you!!!  Please download attached building specifications.....to include, all hardwood FLOORS  throughout!!  Great commuter location to 95, 495, Boston and Providence.  STILL TIME TO PICK OUT YOUR FLOORING, CABINETS, LIGHTING, AND PAINT COLOR.    PLEASE NOTE THE PICTURE IN MLS IS A FACSIMILE OF WHAT WILL BE BUILT.",Other (See Remarks),1,1,"Forced Air, Gas",,Wood/Jackson,K.P. Jr. H.S.,K.P.H.S.,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck;Insulation:Full;Electric:--;Interior Features:--;Hot Water:--;",SF,Pleasant Street,36,36,http://media.mlspin.com/photo.aspx?mls=71794677
4,71801145,SLD,219900,200000,3/13/2015,02/01/2016,,217,217,28 Birch St,Wareham,MA,2571,Parkwood Beach ,2,1,864,80,5833,Suzanne Burke,Upper Cape Realty Corp.,(508) 295-3330,"Call List Agent, Key in Office","PRICE REDUCTION, LOCATION..... Beautifully maintained- 5 room, 2 bedroom summer home with water views from the front porch, bedroom and backyard. Vinyl siding/aluminum trim. New electric panel & 80% wiring.  New electric hot water heater. Ceilings and walls just repainted. Roof 8 yrs. Plus a beautiful new 10 x 16 Reeds Ferry shed with vinyl siding, electricity, benches, stereo & small fridge. This shed could become your very own ""woman or man cave"" and is valued at  $6,500!!  Town water, town sewer.  Large yard offers a summer breeze directly off the water. Steps away from private beach great for swimming, clamming, fishing & boating. Beautiful sunrise and sunsets. Relax and watch the boats go by!!! Active private association offers clubhouse & tennis court.  A great neighborhood for the young and old!  Close to all amenities with no over the bridge traffic! Turn key operation. Fully furnished! This is the perfect beach house in a desirable location.  A true piece of heaven!!",Ranch,1,0,None,,Minot Forest,Wareham Middle,Wareham High,"Basement:No;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Other (See Remarks);Construction:--;Exterior:Wood, Vinyl;Exterior Features:Porch - Enclosed, Outdoor Shower;Insulation:Partial;Electric:--;Interior Features:--;Hot Water:Electric;",SF,Birch St,28,28,http://media.mlspin.com/photo.aspx?mls=71801145
5,71812492,SLD,3950000,3350000,04/07/2015,02/01/2016,,254,215,325 OCEAN AVENUE,Marblehead,MA,1945,,5,4.5,4800,101,42819,Steven White,William Raveis R.E. & Home Services,(781) 631-1199,Call List Agent,"Dramatic Marblehead Neck Oceanfront Property.Featuring ever-changing panoramic ocean and island views this outstanding residence and property offers a rarely found  privacy. Lush lawns & gardens are meticulous and mature. All rooms are spacious & tender sensational seascape perspective. Lengthy circular driveway features a center piece fountain and spacious 3 car garage. Open floor plan and expansive oceanfront decks are marvelous for entertaining. Private Beach access with over 190 feet of ocean  frontage. Situated on 1 acre, the residence sits well back from Ocean Avenue and still affords an enormous seaside lawn area for Wedding Receptions, Fundraisers and family enjoyment. To be appreciated, this property requires a viewing. From the wave action on the rocks and sandy beach, to the sunrises and moonrises, this exceptional setting has it all. 35 minutes to Logan International Airport.",Other (See Remarks),1,3,"Hot Water Baseboard, Radiant, Gas",,PUBLIC/PRIVATE,PUBLIC/PRIVATE,PUBLIC/PRIVATE,"Basement:Yes;Fireplaces:3;Roof:Slate, Rubber;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer, Vent Hood;Foundation:Poured Concrete, Fieldstone;Construction:Frame;Exterior:Stucco;Exterior Features:Deck, Patio, Gutters, Professional Landscaping, Sprinkler System, Decorative Lighting, Fenced Yard, Garden Area, Stone Wall;Insulation:Full, Fiberglass, Unknown;Electric:Circuit Breakers;Interior Features:Security System, Cable Available;Hot Water:Natural Gas, Separate Booster;",SF,OCEAN AVENUE,325,325,http://media.mlspin.com/photo.aspx?mls=71812492
6,71818291,SLD,519900,486500,4/15/2015,02/01/2016,,240,229,527 County Rd,Bourne,MA,2559,Pocasset,3,2,4373,9,40032,Janet Maxim,Jack Conway - Conway On The Bay,(508) 295-6560,Call List Agent,"This newer, state of the art home has been meticulously constructed with attention to all the details. This  Custom Gourmet kitchen is a chefs dream! High end stainless steel appliances , a 48"" dual fuel Wolf stove with 8 burners & double convection ovens, Sub Zero refrigerator/freezer , Energy Star Maytag front load washer & dryer,  custom cherry shaker cabinets and granite counter top and counter bar, Grohe Pot filler and large built in pantry. The Sliding glass doors expand to the private 14x13 Mahogany deck overlooking the private yard. Gleaming Red Oak flooring and crown molding throughout the entire first floor. Master bedroom with private master bath has a custom built  Bain Ultra Therapeutic tub and drying system.Beautiful granite and marble tile walls. Over 1,500 sq. ft of space ready to be finished on the second floor if you want additional living space. Spacious, heated, three car garage .Meticulously landscaped and has a  full irrigation system. New,outdoor Hot/Cold shower.",Cape,1,3,"Forced Air, Humidifier, Propane",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Hardwood;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Shingles, Wood;Exterior Features:Porch, Deck, Sprinkler System, Screens, Outdoor Shower;Insulation:Full;Electric:--;Interior Features:Cable Available;Hot Water:Propane Gas;",SF,County Rd,527,527,http://media.mlspin.com/photo.aspx?mls=71818291
7,71826538,SLD,263900,263900,4/29/2015,02/01/2016,,209,209,54 Pierce Ave,Worcester,MA,1605,Burncoat,3,1.5,1360,3,7378,Frances Casanova Silva,Your New Home Mkting,(508) 208-9371,"Call List Agent, Appointment Required","NEW CONSTRUCTION 1 of 5 new homes being built with easy on easy off access to Rte 290 and minutes to Rte 9, 495 and Mass Pike for commuting.  First floor open floor plan with hardwood thru-out.  Fully applianced stainless steel kitchen appliances. Nice flat lot with back yard treed.",Colonial,1,1,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Other (See Remarks);Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck;Insulation:Full;Electric:Circuit Breakers, 150 Amps;Interior Features:--;Hot Water:Natural Gas;",SF,Pierce Ave,54,54,http://media.mlspin.com/photo.aspx?mls=71826538
8,71833099,SLD,150000,145000,05/08/2015,02/01/2016,,36,36,246 Lisa Drive,Brockton,MA,2302,,3,1,1032,58,10193,John Harrington,Conway - Abington,(781) 878-5775,"Call List Agent, Accompanied Showings, Appointment Required","This home sits in a convenient location minutes from public transit, and a short distance from Route 24, making it a good choice for commuters.  Its convenience to schools, short drive from shopping centers, and location on a quiet side street all combine to make this home one to consider.  The home needs some improvements, as reflected in the price.  Property to be sold as is. This house has lots of potential, and with some TLC can become a great home for those starting out, or looking to downsize.  Call today for a look inside!  All offers subject to third party approval.",Ranch,,0,"Electric Baseboard, Radiant, Oil",,,,,"Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Laminate, Vinyl / VTC;Appliances:Range, Dishwasher, Dryer;Foundation:Slab;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Wood, Patio, Storage Shed, Fenced Yard, Garden Area;Insulation:Blown In;Electric:Fuses, Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Oil, Tankless;",SF,Lisa Drive,246,246,http://media.mlspin.com/photo.aspx?mls=71833099
9,71848875,SLD,1395998,1335000,06/02/2015,02/01/2016,,240,240,853 Greendale ave,Needham,MA,2492,,5,4.5,4173,3,11761,Michael Stallings,Hometown Realty,(617) 640-0846,"Call List Agent, Appointment Required","Gorgeous Custom home nearly completed! The builder is currently perfecting all the high end finishes. From the rare 9 ft ceilings on both the 1st and 2nd floors to the custom kitchen overlooking the beautiful patio area with a picturesque sitting wall, this house has it all!. Beautiful craftsmanship, double crown moldings ample recessed lighting, decor light switches, the list is endless. Spacious 12 room 4/5 Bedroom Colonial with 4 1/2 baths, 4103 sq ft of living space on 3 levels. 4"" Hardwood floors throughout, attached 2 car garage. Close to the highway, great schools and town. This home features many of the newest and highest end systems. Please don't hesitate to contact us for more details or a private showing!",Colonial,,2,"Central Heat, Gas, Hydro Air",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Gutters, Professional Landscaping;Insulation:Full;Electric:200 Amps;Interior Features:Walk-up Attic;Hot Water:Natural Gas;",SF,Greendale ave,853,853,http://media.mlspin.com/photo.aspx?mls=71848875
10,71855057,SLD,654000,645000,06/10/2015,02/01/2016,,159,140,2 Blanchard,Harvard,MA,1451,,4,2.5,3600,34,67953,Ann Cohen Team,Keller Williams Realty Boston Northwest,(978) 369-5775,Schedule with ShowingTime or call 888-627-2775,"Custom designed Contemporary Cape, fully upgraded with quality finishes. Open concept kitchen with custom cherry cabinets, tons of granite counter-space, and a huge eat-in island, open to informal dining room, greenhouse and cathedral family room with arched brick fireplace. Large living room with pellet stove; open dining room with bay window; office with multiple work stations in granite and maple cabinetry; laundry room; half bath in marble and travertine and open staircase leads you to the second floor which has 3 bdrms, 2 full baths in granite and marble, and a spectacular 21 by 20 ft bonus room that was added on as a bdrm or entertainment room, your choice (4 bedroom septic). Finished LL has tongue and groove walls, premium carpeting in the main living area with multiple built-ins, two separate rooms for workshop/craft room/work-out room.  Huge vegetable garden, stone patio, built-in fire-pit with sitting wall, plus extras outside. This is not just a home, it’s a life-style!","Cape, Contemporary",1,2,Hot Water Baseboard,,,,,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Marble, Hardwood, Stone / Slate;Appliances:Range, Wall Oven, Dishwasher, Microwave, Refrigerator, Water Treatment;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Patio, Gutters, Storage Shed, Sprinkler System, Screens, Garden Area, Other (See Remarks);Insulation:--;Electric:Circuit Breakers;Interior Features:Central Vacuum, Security System, French Doors;Hot Water:Oil, Tank;",SF,Blanchard,2,2,http://media.mlspin.com/photo.aspx?mls=71855057
