,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71928774,SLD,509900,513503,11/6/2015,2/1/2017,,356,356,44 Burgess Farm Rd,Dracut,MA,01826,,4,2.5,2436,2,20025,Jim Dolliver,RE/MAX Insight,(978) 957-7379,"Sign, Schedule with ShowingTime or call 888-627-2775","Welcome to Highfield Meadows - New 20 lot subdivision now available! Great location just minutes to major highway and easy access to Boston. This home under construction will have all the upgrades one would want in a quality built home with open concept floor plan. Special features include  walkout basement,. Premium finishes are hardwood & tile flooring,tiled walk in shower, granite kitchen & bath counter tops! . Town water, sewer & natural gas. More lots and styles available! Back on market due to financing.This home is built and ready for new owners within 30 days",Colonial,1,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available, Finish - Earthen Plaster;Hot Water:Natural Gas;",SF,Burgess Farm Rd,44,44,http://media.mlspin.com/photo.aspx?mls=71928774
2,71937811,SLD,699900,670000,12/2/2015,2/1/2017,,358,358,205 Jean Carol Rd.,Abington,MA,02351,,4,2.5,3500,3,33087,Brian Rupp,Century 21 C & S Properties,(781) 341-9042,Call List Agent,"NEW CONSTRUCTION IN THE FINAL STAGE! This home sits amongst other stately homes in Abingtons most desirable and finely manicured neighborhood. This high effeciency home is super insulated and constructed under the strict IECC energy code. Enjoy a bright open modern floor plan with generous windows concentrated on the homes rear southern exposure. Master suite features huge 22x14 sleeping quarters with 2 walk in closets, 9x12 master bath, double vanity, clawfoot tub, separate powder room and tiled shower with body sprayers. Fireplaced family room, 2 tankless water heaters, 2nd floor laundry and much more. Choose your kitchen cabinets, granite and bedroom carpets. Location is only 1 mile to commuter rail and minutes to rt. 3 and rt 24. Open house Sunday, July 17, 12-2pm",Colonial,,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:--;Foundation:Poured Concrete;Construction:Conventional (2x4-2x6);Exterior:Fiber Cement Siding;Exterior Features:Porch, Deck - Composite;Insulation:Full, Spray Foam;Electric:--;Interior Features:--;Hot Water:Natural Gas, Tankless;",SF,Jean Carol Rd.,205,205,http://media.mlspin.com/photo.aspx?mls=71937811
3,71946051,SLD,312500,305000,1/6/2016,2/1/2017,,211,194,8 Chiltern Hill Dr N,Worcester,MA,01609,,3,2.5,2486,37,57082,Realty Delia Group,EXIT Realty Partners,(508) 797-3948,"Sign, Schedule with ShowingTime or call 888-627-2775","WOW!  LOOK NO FURTHER THIS HAS WOW FACTOR!  WHEN YOU PULL IN YOU'LL LOVE THE CIRCLE DRIVE W/THE STONE WALL ENTRY THAT SCREAMS ELEGANCE!  YOU'LL LOVE PULLING UP TO THE GRAND ENTRY, WHEN YOU SEE THE WHITE COLUMNS & THE DOUBLE DOOR ENTRY YOU KNOW YOU ARE IN STYLE!  AS YOU ENTER YOU ARE WELCOMED BY A DOUBLE WIDE STAIR CASE THAT IS EXTREMELY DETAILED CARVINGS IN THE WOOD WORK, YOU'LL FIND A BEAUTIFUL CREST IN THE CEILING, HARDWOOD FLOORS & COLUMNS SHOW ELEGANCE AS THE LIVING RM SHOWS COZINESS W/THE FIRE PLACE RUGS & WOOD BEAMS IN THE CEILING!  THE KITCHEN IS LG ALTHOUGH ITS OUTDATED THE SPACE WILL AMAZE YOU LEADING TO A SUN RM THAT OVER LOOKS THE LARGE PRIVATE BACK YARD, YOU'LL NEVER KNOW YOU ARE IN THE CITY!  3 LARGE BEDROOMS W/HARDWOOD FLOORS!  THE BATHROOMS MAY HAVE WALLPAPER BUT IT'S LUXURY IN THE DAY & YOU WILL SEE WHY WHEN YOU VIEW THIS!  THE LOWER LEVEL IS FINISHED PERFECT FOR A GAME ROOM & OFFICE!  THE SPACE WILL AMAZE YOU, LOOK BEYOND THE DATED WALL PAPER! SOLD AS IS!",Raised Ranch,,2,Forced Air,,Worcester,Worcester,Worcester,Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Brick;Exterior:Brick;Exterior Features:Stone Wall;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Other (See Remarks);,SF,Chiltern Hill Dr N,8,8,http://media.mlspin.com/photo.aspx?mls=71946051
4,71947616,SLD,1285645,1513227,11/12/2015,2/1/2017,,72,72,20 Saw Mill Pond Rd,Canton,MA,02021,,5,4.5,6495,2,32312,Michelle Strahan,Toll Brothers Real Estate,(508) 366-1440,Call List Agent,"Build your dream home at The Preserve at Canton! Brand new luxurious single family home community now open! The Hampton South Shore's awarding winning floor plan features a grand two story foyer with double turned staircases.  The expansive gourmet kitchen is equipped with an oversized center island with cooktop and ample seating, a corner pantry, and plenty of natural light.  A convenient rear staircase separates the breakfast area and dramatic two story family room.  The spectacular master bedroom suite features a master den, two large walk-in closets, and a luxurious master bathroom with dual private water closets.  All bedrooms include their own private bath.",Colonial,1,3,Propane,,Hansen,Galvin,Canton,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Wall Oven, Microwave, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Brick;Exterior Features:Deck - Composite;Insulation:Full, Fiberglass - Batts;Electric:200 Amps;Interior Features:--;Hot Water:Tank;",SF,Saw Mill Pond Rd,20,20,http://media.mlspin.com/photo.aspx?mls=71947616
5,71958726,SLD,68000,68500,2/11/2016,2/1/2017,,40,34,716 Weeden St,Pawtucket,RI,02860,,3,1,1281,118,5000,Joy Riley,Westcott Properties,(401) 421-5300,Schedule with ShowingTime or call 888-627-2775,Charming single family conveniently located near Smithfield Ave! Features some hardwood flooring and two car detached garage! Some restoration is needed but with your personal touches this home will shine! Some copper has been removed.,Cottage,,2,"Hot Water Baseboard, Oil",,,,,Basement:Yes;Fireplaces:0;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:Aluminum;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Weeden St,716,716,http://media.mlspin.com/photo.aspx?mls=71958726
6,71969111,SLD,299900,299900,3/9/2016,2/1/2017,,243,228,170 Colburn St,Dedham,MA,02026,,3,1,2187,88,8000,Jay McHugh,LAER Realty Partners,(978) 251-8221,Schedule with ShowingTime or call 888-627-2775,"NEW PRICE $299,900 ....!!!! TAKE A NEW LOOK AT THIS WONDERFUL HOME AT THIS PRICE...HUGE LOT .. COMFORTABLE FLOW...UPDATED BATH ... LIVING AREA....DEDHAM SCHOOL SYSTEM..MINUTES FROM HIGHWAYS AND LEGACY PLACE....EASY TO SHOW..... AT THIS PRICE IT WILL NOT LAST....THANKS FOR SHARING THIS LISTING AS WELL....OWNER SAYS MAKE OFFER...TODAY.....",Colonial,,0,Hot Water Baseboard,,,,,Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:--;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Colburn St,170,170,http://media.mlspin.com/photo.aspx?mls=71969111
7,71979727,SLD,1995000,1740000,3/30/2016,2/1/2017,,217,203,50 Elm Street,Wellesley,MA,02481,,6,4.5,5000,114,33824,Prudence B. Hay,Rutledge Properties,(781) 235-4663,"Call List Agent, Accompanied Showings, Appointment Required","Much admired grand scale period home in Wellesley Farms. Stunning foyer with a breathtaking staircase winding upwards. Brought into the twenty-first century with open floor plan, high ceilings, lots of light and gleaming hardwood floors, this signature home has five fireplaces, plenty of bedrooms and baths, kitchen/family room and home office spaces for today's lifestyle, while retaining the lovely detail of the original era with gracious formal rooms. Enjoy leisure time and summer evening dinners on beautiful screened porch overlooking serene manicured level yard. Easily accessible to train and shops.",Colonial,1,2,"Steam, Radiant, Gas",,Schofield,Wellesley,Wellesley,"Basement:Yes;Fireplaces:5;Roof:Asphalt/Fiberglass Shingles, Slate;Floor:Tile, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Porch - Screened, Deck - Roof, Storage Shed;Insulation:Partial;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;",SF,Elm Street,50,50,http://media.mlspin.com/photo.aspx?mls=71979727
8,71986869,SLD,258000,262230,4/11/2016,2/1/2017,,239,218,37 Brittingham Hill Rd,Rowe,MA,01367,,4,1.5,2498,218,570113,Susan M. Renfrew,Renfrew Real Estate,(413) 774-7481,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required, Sign","Picturesque setting for this 1800's era center hall colonial. Spacious 4-5 BR home, with flexibility to put master BR on first floor & add a master bath in the adjacent room. Wood floors throughout, some wide pine. LR w/FP & chimney cupboards, built-in china closet, & traditional farm kitchen in the ell with real knotty pine, moveable island & picture window to enjoy the view, birds & animals with your morning coffee. Convenient first floor laundry, recently insulated floors & newer septic. A little work on the Tri-level P&B barn will make a nice home for the animals, much of the 13 acres is south and east facing meadow, the remainder wooded with a brook at the bottom of the hill.  Minutes to Pelham Lake rec area, where residents enjoy kayaking, swimming,& hiking! Bring your ideas & make this property your real New England home.",Colonial,1,0,"Hot Water Baseboard, Oil",,Local,Regional,Regional,"Basement:Yes;Fireplaces:1;Roof:Slate, Metal;Floor:Wood, Vinyl;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Fieldstone, Brick;Construction:Post & Beam;Exterior:Clapboard, Wood;Exterior Features:Porch, Storage Shed, Barn/Stable, Screens, Garden Area;Insulation:Partial, Blown In, Mixed, Cellulose - Fiber;Electric:Circuit Breakers, 100 Amps;Interior Features:Walk-up Attic;Hot Water:Oil, Tank;",SF,Brittingham Hill Rd,37,37,http://media.mlspin.com/photo.aspx?mls=71986869
9,71988030,SLD,389000,370000,4/12/2016,2/1/2017,,244,244,2 Eldorado,Mattapoisett,MA,02739,,3,2.5,2311,43,28957,Paul Helgesen,"Better Living Real Estate, LLC",(781) 821-0105,Call List Agent,"Beautifully remodeled ranch home in a quiet Mattapoisett neighborhood features a spacious eat-in kitchen with all new stainless appliances, granite counters, self-closing drawers and cabinets, recessed lights, ceramic tile floor and sliders opening to a deck and large private back yard.  LR includes wood burning FP surrounded by stone wall to the beautiful new coffered ceiling, bamboo flooring (including hallway).  MBR includes large walk-in closet, master bath with double vanity, linen cabinet, glass shower and soaking tub set on river stones.  Updated electric panel, central vac, new front door, new interior doors, new windows.  Large finished basement with wood burning FP, half bath and 70's style wet bar with seating for 8 for entertaining.  New stone front landing and formed concrete walkway lead to a circular driveway.  New roof, new 3-BR septic system, french drain, attached 2-car garage with elec. opener, new stucco exterior finish.",Ranch,1,2,"Hot Water Baseboard, Oil",,,,,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Stucco;Exterior Features:Deck, Gutters, Fenced Yard, Stone Wall;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Cable Available;Hot Water:--;",SF,Eldorado,2,2,http://media.mlspin.com/photo.aspx?mls=71988030
10,71988068,SLD,509900,498400,4/13/2016,2/1/2017,,225,210,28 Baker Terrace,Marshfield,MA,02050,Rexhame,3,3,2311,66,11326,Marian Courcy Duksta,Molisse Realty Group,(781) 837-5600,"Call List Agent, Appointment Required","Rexhame, River views from this renovated three + bedroom home on side street in sought after area. Open floor plan with high ceilings. Master suite with full bath, walk in closet , gas log fp and beautiful views of the marsh. Living room with gas log fp opens to spacious kitchen and dining area.  Two bedrooms and a full bath complete the first floor of this home   Walk out lower level has a 3/4 bath off the bedroom and a spacious living area with slider to separate entrance.for summer guests and in-laws.. Its great space ! Walk up attic,one car garage under, beautiful new wrap around deck and more! Plenty of parking and minutes to beach.",Ranch,1,1,"Forced Air, Gas",,Daniel Webster,Furnace Brook,MHS,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:Full;Electric:--;Interior Features:--;Hot Water:Natural Gas;",SF,Baker Terrace,28,28,http://media.mlspin.com/photo.aspx?mls=71988068
