,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2726,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1882,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71590427,SLD,80000,70000,9/30/2013,1/29/2016,,269,242,85-87 White St,Springfield,MA,01108,Forest Park,6,2,2956,113,7144,Marilyn Pinto,Coldwell Banker Residential Brokerage - Longmeadow,(413) 567-8931,"Call List Office, Call List Agent, Lock Box","This spacious duplex, with high ceilings and much original detail, has been well maintained.  It was most recently used as a single family but can be converted back.  (Check with the City of Springfield Building Department for more information.) #85 side has an office addition off the kitchen.  Great potential for investor or owner occupant.  Appliances are included.  Furnishings included with full price bid.  Come take a look!",,,0,,,,,,,MF,White St,8587,85-87,http://media.mlspin.com/photo.aspx?mls=71590427
4,71606829,BOM,499000,,11/10/2013,,,1588,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
5,71661835,SLD,199900,135000,4/16/2014,1/20/2016,,760,443,110 Florida Ave,Bellingham,MA,02019,,6,2,2315,98,12000,Joyce Waterhouse,Keller Williams Realty - Foxboro/North Attleboro,(508) 695-4545,Call List Agent,Great owner occupied multi or investment property.   Prime location at end of a dead end street.  Large units and phenomenal yard.  Plenty of parking - SHORT SALE,,,0,,,,,,,MF,Florida Ave,110,110,http://media.mlspin.com/photo.aspx?mls=71661835
6,71695436,SLD,508888,455000,6/9/2014,1/22/2016,,469,468,117 Standish Ave,Quincy,MA,02170,Wollaston,4,3,1837,148,9133,Angela Ponte,Classic Homes Real Estate,(617) 328-5800,"Appointment Required, Other (See Special Showing Instructions)","Two family on large lot with expansion potential to add on, Zoned RES B. Just a short walk to the Wollaston Red Line ""T"" station, Wollaston center, and the new Central middle school. All Separate utilities; gas heat and hot water, updated electric, air conditioning.  Property was converted to a 2 family in 2005.",,,0,,,Wollaston,Central,North Quincy,,MF,Standish Ave,117,117,http://media.mlspin.com/photo.aspx?mls=71695436
7,71701476,SLD,394000,394000,6/19/2014,1/6/2016,,596,338,316 Warren st,Boston,MA,02119,Roxbury,6,3,3009,128,4076,Samson Assefa,"Regatta Realty, LLC",(617) 982-7012,"Call List Agent, Appointment Required","Home totally Renovated back in 2002 through the Department of Neighborhood Development program. Amazing 3 Family walking distance to Dudley sq, near MBTA bus line, shopping center and close to major Routes. Don't miss this great opportunity. Seller able to deliver with one floor vacant. All units rented below the allowable DND market rents.Please e mail Listing agent for all Showings.",,,0,,,,,,,MF,Warren st,316,316,http://media.mlspin.com/photo.aspx?mls=71701476
8,71735686,SLD,449900,380000,8/30/2014,1/28/2016,,514,514,12 Richardson Cir,Framingham,MA,01702,,6,6,3742,116,7405,Dell Costa,"Dell Realty Associates, Inc.",(617) 629-5950,Call List Agent,"Great Opportunity!!! 6 Family property located in downtown framingham, Property needs  work..",,,0,,,,,,,MF,Richardson Cir,12,12,http://media.mlspin.com/photo.aspx?mls=71735686
9,71741982,SLD,144900,100000,9/11/2014,1/27/2016,,468,468,184 Maple St,Springfield,MA,01105,So End Central,6,3,3842,121,2601,Stephen Byrne,First Place Realty,(413) 734-4300,Schedule with ShowingTime or call 888-627-2775,"Must see this Large Brick 3 Family which was completely updated within last 10 years, new elec & heating systems , high ceilings , ceiling fans, all 3 units are lead compliant and you can walk to downtown Springfield. Sprinkler system",,,0,,,,,,,MF,Maple St,184,184,http://media.mlspin.com/photo.aspx?mls=71741982
10,71750247,SLD,274900,245000,9/30/2014,1/15/2016,,402,384,8 Atlantic Ave,Amesbury,MA,01913,,6,3,2022,118,13160,Cathy Toomey,"Stone Ridge Properties, Inc.",(978) 388-0880,Call List Agent,Investors take note.  This three family has much potential.  First floor is has a lead certificate.  Separate utilities and a newer roof.  The tenants are long time so rents are well below market.  All units have eat in kitchens and there are laundry hook ups in the basement.  The hilltop setting allows for wonderful views.,,,0,,,Amesbury Elem,Amesbury Middle,Amesbury High,,MF,Atlantic Ave,8,8,http://media.mlspin.com/photo.aspx?mls=71750247
