,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71931021,SLD,179900,175000,11/12/2015,7/8/2016,,527,160,1231 Main St,Agawam,MA,01001,,4,2,1746,211,16666,Cichetti Teamwork,Cichetti Teamwork @ Sears Real Estate,(413) 789-9029,"Call List Office, Call List Agent, Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775","Investment opportunity at its best!!! Two family house with current tenants in place in desirable Agawam location, many major updates have already been done. Heat and hot water converted to natural gas, replacement double hung paned windows in house excluding basement and automatic water filler for furnace all newer. Chimney has newer liner, basement and second floor have washer/dryer hookups. Units have large kitchens with eat in areas and also ceiling fans throughout top and bottom floors.   All utilities with the exception of water are tenants responsibility. Call for a private showing appointment.",,,0,,,Phelps,Doering,Senior High,,MF,Main St,1231,1231,http://media.mlspin.com/photo.aspx?mls=71931021
2,72008835,SLD,279900,265000,5/19/2016,7/5/2016,,2,2,15-17 James Avenue,Agawam,MA,01001,,5,3,2680,32,9583,Jane Fazio,RE/MAX Compass,(413) 568-0040,"Accompanied Showings, Schedule with ShowingTime or call 888-627-2775","Well maintained duplex on dead end street.  One unit features 3 bedrooms, spacious kitchen & dining, large living rm, 1/2 bath & laundry on 1st floor and slider to deck.  Other unit features 2 bedrooms, large living rm & dining rm with slider to deck.  Laundry in basement.  Both units have fully applianced kitchens with tile flooring. Tenants are month to month rental agreements.  Income potential could be higher than present rents. Furnace in #15 James Ave. to be replaced prior to closing",,,0,,,,Agawam,Agawam,,MF,James Avenue,1517,15-17,http://media.mlspin.com/photo.aspx?mls=72008835
3,72221281,ACT,175000,,8/31/2017,,,204,,1025 Main Street,Agawam,MA,01001,,4,2,1812,118,17860,Kathleen Witalisz,Witalisz & Associates,(413) 568-0005,"Call List Office, Accompanied Showings, Appointment Required, Other (See Special Showing Instructions)",Located right on Route 159. A great opportunity to invest or own & occupy. Come preview this property today!,,,0,,,,,,,MF,Main Street,1025,1025,http://media.mlspin.com/photo.aspx?mls=72221281
4,72246160,ACT,269900,,10/22/2017,,,351,,1744 Main Street,Agawam,MA,01001,,4,2.5,1603,95,26571,Gregory Blair,Valenti Real Estate,(413) 575-1762,Call List Agent,"Location, location, location. This property is across the street from one of the Six Flags Amusement Park entrances. This property has many uses because the zone in the front is Bus B and the zone in the back yard is Indust A.  The two family is occupied. Both tenants would like to stay if a Buyer would like to keep the tenants. The tenants are at will or month to month. Buyers to check with or verify with the Agawam Town Authorities as to the intended use. MOTIVATED SELLER.",,,0,,,James Clark,Agawam,Agawam,,MF,Main Street,1744,1744,http://media.mlspin.com/photo.aspx?mls=72246160
5,72269654,ACT,359000,,1/10/2018,,,72,,724-726 Main St.,Agawam,MA,01001,,7,4,3765,223,35719,Susan Drumm,Coldwell Banker Residential Brokerage - Longmeadow,(413) 567-8931,"Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Welcome home to this charming 2 family home set right in the center of the town's historical district. Located on a corner lot on .82 acres, there is plenty of room to roam. Exterior features include a 3 car garage, fenced in yard, 24' above ground pool w/metal deck, wood shop, shed  and 2 story playhouse all with electricity, garden complete with apple trees and blueberry bushes, beautiful fire-pit, and finally a Jacuzzi! Wander inside and find all the charm  of yesteryear, but with modern day amenities. The comfy main home boasts 4 fireplaces , 4 bedrooms and 3 full baths. The wide plank pine floors, stone hearths, wainscoting, tiger wood maple railing and classic interior doors and finishes will bring you back in time! Master bedroom presents 2 walk in closets, 3/4 bath with double vanity &  dressing room/nursery/office. Walk up to the partially heated and finished 3rd floor or relax in your 4 season solarium off the kitchen. Too many features to list, so schedule a tour today!",,,3,,,Benjamin Phelps,Doering,Agawam H.S.,,MF,Main St.,724726,724-726,http://media.mlspin.com/photo.aspx?mls=72269654
6,72296695,NEW,176000,,3/21/2018,,,2,,72 Riverview Ave,Agawam,MA,01001,,4,2,1728,48,13300,Tammy Collins,Agnelli Real Estate,(860) 282-0678,Schedule with ShowingTime or call 888-627-2775,"Investor Looking In Springfield?  Come check out this two family home with two bedrooms and one bathroom each unit. This is a side by side townhouse style multi family with over a total of 1700 sq ft living space. HUD Home. Sold “AS IS” by electronic bid only. Property Available 03/21/2018. Bids due by 03-30-18 at 11:59 PM Central Time then daily until sold. FHA Case #251-316394. Insured with Escrow Repair (IE) . Eligible for FHA 203K. Buyer to verify all info. Equal Housing Opportunity. Finance Terms: Cash, FHA and Conventional.  72 Riverview Ave. a.k.a. 72-74 Riverview Ave.",,,0,,,,,,,MF,Riverview Ave,72,72,http://media.mlspin.com/photo.aspx?mls=72296695
7,71971715,ACT,315000,,3/14/2016,,,739,,120-122 Logtown Rd,Amherst,MA,01002,,4,3,1660,33,20233,Kym Peloquin,Century 21 Hometown Associates,(413) 315-4337,"Call List Agent, Accompanied Showings, Appointment Required, Sign, Other (See Special Showing Instructions)","Buyers want extra income then come check out  this BEAUTIFUL, MOVE IN READY owner occupied single family raised ranch with a 1 bedroom apartment that is located behind the garage. The property is all electric and has leased Solar Panels.  Amenities include a deck, storage shed, 2 full baths, laundry room and a family room along with an additional room in the lower level. The apartment offers 1 bedroom kitchen/living room combo and a full bath with stackable washer/drier plus a deck.  This apartment has it's own house number  and entrance and can be rental income or used as an in-law apartment or maybe even an office.  Per town, property has to be owner occupied. Buyer responsible to verify legal usage for apartment and all other information.  Buyer responsible to take over the solar lease.",,,1,,,,,,,MF,Logtown Rd,120122,120-122,http://media.mlspin.com/photo.aspx?mls=71971715
8,72281956,ACT,495000,,2/15/2018,,,36,,33 Pokeberry,Amherst,MA,01002,,3,2,1208,50,118918,John  F. Edwards,John F. Edwards Realty,(413) 253-9090,"Call List Office, Call List Agent, Lock Box","Unusual ""Build-Out"" or ""Tear-Down"" opportunity.   2.72 acre Amherst center property features stunning western views from this exclusive Pokeberry Ridge location, a private way off of East Pleasant Street. This property includes land on both sides of the way.  The current structure is a two bedroom hip roofed ranch with a one bedroom apartment in the walkout basement.  Amherst by-laws allow a ""Supplemental Detached Dwelling Unit"" up to 900 SF to be constructed upon the premises in addition to the original house, in lieu of the apt. Great opportunity to remodel/add on or build the in-laws or kids their own bungalow on this stunning property one half mile from the center.  Views, location and opportunity rarely seen!  Interior is clean but dated.  Premises are being marketed for the marvelous potential.  Great ""condo"" conversion opportunity!",,,1,,,,,,,MF,Pokeberry,33,33,http://media.mlspin.com/photo.aspx?mls=72281956
9,72285970,ACT,349900,,2/26/2018,,,253,,1427 S East St,Amherst,MA,01002,,5,2,1841,218,30085,Jeremy Ober,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Agent, Lock Box, Appointment Required","Handsome, well-cared-for two-family. Popular features include; stainless steel appliances, sparkling hard wood floors, porcelain tiles and front-loading washer and dryer.The three-season porch is a wonderful place to welcome the morning or enjoy a cool summer evening. The two-car garage is detached. The second floor apartment is great for extended families or as an income producer to offset mortgage costs. This outstanding location abuts Mt. Pollux Conservation Trail and is only 7 minutes to downtown Amherst. This home is a rare.",,,2,,,,,,,MF,S East St,1427,1427,http://media.mlspin.com/photo.aspx?mls=72285970
10,72294127,ACT,399000,,3/15/2018,,,8,,320 West St,Amherst,MA,01002,South Amherst ,5,2.5,2600,51,17828,Xian Dole,Keller Williams Realty,(413) 585-0022,"Appointment Required, Other (See Special Showing Instructions)","House was a single family home, now is a duplex,  up and down two units, special permit.   Upper level unit has 3 bedrooms, 1 full and 1 half baths.  Lower level has 2 bedrooms and 1 office room, 1 full bath.  Recent improvements are some replacement windows, roof, siding.  This two unit house is great for owner living on level and renting out the lower level, or just renting out both units and collect good rent for income.",,,1,,,,ARMS,AHS,,MF,West St,320,320,http://media.mlspin.com/photo.aspx?mls=72294127
