,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2695,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1851,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,ACT,499000,,11/10/2013,,,1557,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71787759,ACT,190000,,1/27/2015,,,555,,3 Oak St,Uxbridge,MA,01569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
5,71807860,ACT,2000000,,3/27/2015,,,1061,,82-86 Prospect St,Somerville,MA,02143,,0,0,19800,88,9265,Richard Fontaine,Good Shepherd Realty,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
6,71810460,ACT,525000,,4/2/2015,,,1055,,400 Burts Pit Road,Northampton,MA,01062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
7,71811589,SLD,745000,685000,4/6/2015,6/26/2017,,676,662,238 Maple St,Springfield,MA,01105,So End Central,14,12.5,14411,118,69652,Shirley Simolari,Keller Williams Realty,(413) 565-5478,"Call List Agent, Accompanied Showings, Appointment Required","Motivated Seller, 11-Multi unit property plus carriage house with potential for remodel and continued growth.  Built strong in 1900, will soon overlook the city's new casino! Situated at the high point of Historic Maple Hill! Perfect view of the city and river valley exceptional amenities renters prefer, each unit has it's own charm.   The only one of it's kind in the South End Central District.  Original etched/carved woodworking throughout the property, beamed ceilings, stained glass windows, hardwood flooring, custom glass cabinets, Eight fireplaces, one brick and seven marble, rounded bay windows, crystal chandeliers, high ceilings, built-in cabinets, brass fixtures, dressing rooms, balconies and 3 car stalls in an unfinished Carriage house.  See Ariel video, 1/3Brm, 1/2, 3/1, 6 Studios.",,,3,,,,,,,MF,Maple St,238,238,http://media.mlspin.com/photo.aspx?mls=71811589
8,71818853,SLD,239900,236000,4/16/2015,6/16/2017,,474,5,19 E Highland St,Lynn,MA,01902,,7,3,2616,118,3857,Sara Hrono,EXIT Realty Beatrice Associates,(617) 764-5601,"Call List Agent, Accompanied Showings, Other (See Special Showing Instructions)","Attention Investors and contractors with vision and eyes for a winning deal!. Centrally located two family with ample off street parking, tremendous potential. Subject to third party approval. Property will be sold as is where is, buyer responsible for all due diligence.Don't miss this outstanding opportunity!",,,0,,,,,,,MF,E Highland St,19,19,http://media.mlspin.com/photo.aspx?mls=71818853
9,71820974,SLD,324900,300000,4/21/2015,6/21/2017,,380,3,37 Parrott Street,Lynn,MA,01092,,8,30,2988,118,3779,C. Arthur Cusack,Connor Real Estate,(781) 581-5940,Call List Agent,Short Sale ....subject to third party approval......House in good condition but needs some work,,,0,,,,,,,MF,Parrott Street,37,37,http://media.mlspin.com/photo.aspx?mls=71820974
10,71834589,ACT,299900,,5/11/2015,,,1015,,76 Cushman Road,Leverett,MA,01054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
11,71860178,ACT,525000,,6/18/2015,,,978,,31-35 Sawyer St,Methuen,MA,01844,,4,4,2868,118,10800,Richard Fontaine,Good Shepherd Realty,(413) 222-3472,Owner,"PROPERTY TO BE SOLD ""AS IS"" IN GOOD CONDITION  Unique Multi-Family Situated in an Area of Predominantly SINGLE FAMILY HOMES .       Four (4) One Bedroom Units with All Updated Plumbing & Electrical, Separate Utilities       and Parking Situated Near Hickory Hill Golf Course.          A Record of Recent Sales Activity in the Area Shows a Similar Multi-Family   Property SOLD for $ 525,000            Hurry Now Before Prices Increase Again to Take Advantage of this Tremendous Value.",,,0,,,,,,,MF,Sawyer St,3135,31-35,http://media.mlspin.com/photo.aspx?mls=71860178
12,71867561,SLD,159900,164900,7/3/2015,6/1/2017,,356,349,634 Second Street,Fall River,MA,02721,,4,2,1560,118,3240,Manny V Lindo,Highland Real Estate Group,(508) 673-9200,"Call List Agent, Accompanied Showings, Appointment Required",2 family with 2 bedroom units Eat in Kitchens and Central Air Conditioning. Off street parking for 3 cars and a nice side yard. Unfinished walkup attic for future expansion.  Second floor unit is vacant so it is easy to show.,,,0,,,,,,,MF,Second Street,634,634,http://media.mlspin.com/photo.aspx?mls=71867561
13,71875614,ACT,465000,,7/18/2015,,,800,,45 Everett Street,Middleboro,MA,02346,,11,6,3000,118,20000,Matthew Zimmerman,Regent Real Estate,(508) 888-3179,--,"STOREFRONT IN MIDDLEBORO AND FIVE (5) RESIDENTIAL UNITS ABOVE! STRONG, RELIABLE RENTROLL ... HIGH VISIBILITY CORNER LOT LOCATION IN AREA NEEDING A STORE! LIVE AT YOUR BUSINESS OR HOUSE YOUR STORE MANAGER HERE! PROPERTY ALSO HAS LARGE DETACHED 3-CAR GARAGE AS A SEPARATE RENTABLE STRUCTURE. MUCH WORK NEEDED COME MAKE YOUR OWN ASSESSMENT. CLOCKWORK RENTROLL WILL BE INCREASED 10% +/-  BY CURRENT OWNER FOR YOU BEFORE CONVEYANCE *NOTE: 1 OF 5 APARTMENTS RENTED AT DISCOUNT FOR ON-SITE RESIDENT MANAGER, A 10+ YEAR OCCUPANT--- DRIVE-BYS ARE ENCOURAGED AS LOCATION WILL HAVE YOUR WHEELS TURNING -- STORE CONVERSION IT IS SITTING VACANT READY TO GO FOR YOU ! --",,,3,,,,,,,MF,Everett Street,45,45,http://media.mlspin.com/photo.aspx?mls=71875614
14,71895168,SLD,95000,75000,8/25/2015,6/9/2017,,635,634,292 Tecumseh St,Fall River,MA,02721,,4,2,2641,118,4431,Karen McLinden,"CENTURY 21 Associates Realty, LLC",(508) 677-3233,--,"Attention contractors and investors!!! Two family or possible three. First floor is close to ready to rent out. It's 4 bedrooms, living room and eat in kitchen. Second floor doesn't need too much work to rent out as a 4 bedroom, but the third floor walk up attic could be used to townhouse the units or go for a variance to add a third unit. Loaded with potential! There will be a brand new house will be going up in the back! Detached two car garage. Some replacement windows, most are in the two units. Vinyl siding will clean the whole thing up!",,,2,,,,,,,MF,Tecumseh St,292,292,http://media.mlspin.com/photo.aspx?mls=71895168
