,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71814823,UAG,599900,,4/9/2015,,,779,779,376 Ocean Blvd,Seabrook,NH,03874,,4,3,2380,17,5662.8,Maureen L. Carey,The Maureen Carey Group,(603) 474-3437,"Call List Agent, Accompanied Showings, Appointment Required, Sign","8 houses to the  beach from this delightful 4 BR home with an open floor plan. Parking for 12 cars if needed, 4 bedrooms, 3 baths, 1st floor laundry,family room, dining room and den/living room with gas fireplace.  Hardwood and ceramic floors thru-out. Gas heat and central air.  Patio with a picket fence and a side deck off living room. Matching shed for storage.  Partially fenced yard.  Furnishings negotiable - pristine condition.",Contemporary,1,0,"Central Heat, Forced Air, Gas",,Seabrook,Seabrook Middle,Winnacunnet,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Vinyl;Exterior Features:Deck, Deck - Vinyl, Patio, Screens, Outdoor Shower;Insulation:Full, Fiberglass - Batts;Electric:200 Amps;Interior Features:Cable Available, Finish - Sheetrock;Hot Water:Natural Gas, Tank;",SF,Ocean Blvd,376,376,http://media.mlspin.com/photo.aspx?mls=71814823
2,71945261,UAG,489900,,1/5/2016,,,357,357,Lot 32 Joseph Circle,Northbridge,MA,01588,Whitinsville,4,2.5,2675,1,22651,Susan Davis,Berkshire Hathaway HomeServices N.E. Prime Properties,(508) 234-6441,Call List Agent,.The Halifax is a  beautiful 2675 sq ft home. Foundation is in  - 4-5 month delivery time The CAMELOT is in a desirable location with 30 homes already SOLD!! Extras included are Custom maple cabinets in the kitchen with granite~Granite also in the baths! Gas heat and fireplace!Crown molding and wainscoting!2 Car attached garage! Central Air,Colonial,1,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck - Wood, Deck - Composite, Covered Patio/Deck, Gutters, Decorative Lighting, Screens;Insulation:Full;Electric:200 Amps;Interior Features:Cable Available;Hot Water:--;",SF,Joseph Circle,32,Lot 32,http://media.mlspin.com/photo.aspx?mls=71945261
3,71997428,UAG,142900,,5/1/2016,,,418,404,lot 37 Opal,Gardner,MA,01440,,3,2,1158,2,0,Mark Tavenner,LAER Realty Partners,(978) 448-8288,Call List Agent,"Make your appointment today to walk the lots. New homes arriving. This is the  ""The Levi Heywood""  model in Sapphire Park A Brand new unique development of manufactured homes. This adult community built and designed for the 55 and over life style. Come walk the lots, pick your new home style. What could be better than brand new.  Loaded with features. 2x6 construction, 5 / 12 Roof pitch. too much to list. Now taking reservations. photo similar to be built. Similar photo shown with optional garage and porch.",Ranch,1,0,Central Heat,,,,,Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Slab;Construction:Modular;Exterior:Vinyl;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Opal,37,lot 37,http://media.mlspin.com/photo.aspx?mls=71997428
4,72022432,CTG,1749000,,6/13/2016,,,534,531,8 Willow St,Dover,MA,02030,,4,5.5,6398,5,43560,Jay Hughes,Dover Country Properties Inc.,(508) 785-1550,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Nearly new and beautifully sited on private landscaped acre this custom built residence is minutes to Wellesley/Needham. Dramatic detailed two story entry foyer leads to FP living room and dining room combination. FP familyroom opens to fantastic private screened porch overlooking level rear yard. Gorgeous, ideally executed kitchen, offers custom cabinetry, granite counter tops, ss appliances, center island, pantry plus dining area! Rear hall from 3 car attached garage offers large mudroom with custom cubbies and bench! The  second floor foyer offers open space with window seat and bookshelves. Master bedroom suite, ultra bath double vanity, soaking tub, separate oversized shower, 3 closets and all opening to a private outside balcony! In addition 3 en-suite bedrooms plus office/den.. Lower level with playroom, gym, billiard room, recreation area with wet bar and full bath! A bright and open interior, exceptional opportunity and location! Easy access to train, major routes.",Colonial,1,3,"Forced Air, Heat Pump, Propane",,Chickering,Dover-Sherborn,Dover/Sherborn,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Vacuum System, Vent Hood;Foundation:Poured Concrete;Construction:Frame, Stone/Concrete;Exterior:Shingles, Stone, Fiber Cement Siding;Exterior Features:Porch - Screened, Deck, Deck - Roof, Patio, Balcony, Professional Landscaping, Sprinkler System, Garden Area, Stone Wall;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:Propane Gas, Tank;",SF,Willow St,8,8,http://media.mlspin.com/photo.aspx?mls=72022432
5,72030996,CTG,269000,,6/29/2016,,,601,582,265 Ridge Rd,Worthington,MA,01098,Worthington Center ,4,2.5,2400,25,191664,James A. Molyneux,Molyneux Realty,(413) 238-5324,"Call List Office, Call List Agent, Key in Office, Accompanied Showings, Appointment Required, Sign, Pets on Premises","A very unique property. Original center chimney, 2 bed room, colonial style home with wide board flooring and wonderful view from the early 80's. This gave way to another larger single family home at which time the first house became office, warehouse, storage space for a home based business. Current newer single family is energy efficient beautifully laid out with open floor plan. Large kitchen with Island and dining area off. There is a wonderful living room with large deck that looks east over the Hampshire Hills 3-4  upstairs bed rooms with full bath and laundry. Vaulted ceilings and great view. The basement is partially finished with tile floor and pool table. One 4.4 acre lot, great views, quiet location, Both structures need some work having been rented and neglected for a short term but are now in good shape and ready for the finishing touches. Rare opportunity where you really get 2 for LESS than the price of one. Come see for yourself","Colonial, Contemporary",1,0,"Central Heat, Hot Water Baseboard, Radiant, Propane",,RH Coneell,Hampshire Reg,Hampshire Reg,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Laminate;Appliances:Wall Oven, Dishwasher, Countertop Range, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Shingles, Wood;Exterior Features:Porch, Deck;Insulation:Full, Fiberglass, Loose, Mixed, Unknown;Electric:110 Volts, 220 Volts, 200 Amps;Interior Features:Central Vacuum;Hot Water:Propane Gas, Tank;",SF,Ridge Rd,265,265,http://media.mlspin.com/photo.aspx?mls=72030996
6,72053436,CTG,1375000,,8/15/2016,,,554,549,24 Thornberry Lane,Sudbury,MA,01776,,5,4,4985,18,174165,Fern Firth,Coldwell Banker Residential Brokerage - Wayland,(508) 358-5131,"Lock Box, Schedule with ShowingTime or call 888-627-2775","GREAT PRICE! GREAT VALUE- Great Home ready for Immediate Occupancy! A two-story foyer welcomes you to  an exceptional richly detailed interior with a barrel vaulted archway to the dining room, coffered and tray ceilings, exquisitely appointed library/parlor, elaborate crown moldings, expansive gourmet kitchen, luxurious master suite with fireplace and balcony, front and back staircases, walk-up third floor space, and an exercise room/playroom in the lower level. An exceptional almost 4 acre setting in a premier neighborhood completes the ideal picture and just a short walk to town fields and pool!",Colonial,,3,"Forced Air, Gas",,Nixon,Curtis,Lincoln/Sudbury,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Porch - Screened, Deck, Balcony, Sprinkler System;Insulation:Full;Electric:Circuit Breakers;Interior Features:Central Vacuum, Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;",SF,Thornberry Lane,24,24,http://media.mlspin.com/photo.aspx?mls=72053436
7,72056197,CTG,149900,,8/21/2016,,,178,169,14 Ross Street,Clinton,MA,01510,,3,1,1358,108,24939,Krysten Bunting,Century 21 North Shore/Storrs & DeNault,(978) 537-5100,"Call List Agent, Lock Box, Appointment Required","Corner lot home is directly on the Lancaster/ Clinton Line and features a lovely Sunny Family Room, 3 Bedrooms, and a large private yard perfect for gardening, pets, Family parties, or relaxing on the Back Patio.  All Appliances included. This is a short sale attempt, property to be sold 'as is' 'as seen' 'where is', seller/broker make no warranties or representations. Any & all buyers making an offer will be required to complete their inspection within 7 days of offer acceptance by the seller. Buyer responsible for any and all inspections necessary to complete sale, this includes the smoke certifications. Seller will NOT improve the condition of the property in any way for any reason. Buyer’s responsible for diligence.",Cape,1,0,"Hot Water Radiators, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Other (See Remarks);Construction:Frame;Exterior:Shingles;Exterior Features:Patio;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Tankless;",SF,Ross Street,14,14,http://media.mlspin.com/photo.aspx?mls=72056197
8,72057160,CTG,165000,,8/21/2016,,,391,357,55 Pavilion Ave,East Providence,RI,02916,,3,1.5,1116,118,4089,Shannon Janic,Cornerstone Realty Partners,(508) 399-1222,"Call List Agent, Lock Box, Appointment Required, Sign, Pets on Premises",ATTENTION INVESTORS:  Motivated Seller!  1900's charm with a modern twist!  Family owned property with some minor updates throughout.  Hot water tank is only 2 years old and exterior was painted within the past year.  Full bathroom on 1st floor with brand new half bath in Master upstairs.  Wood stove and all appliances to remain.  Garage to be torn down at buyers request. Minimal notice needed.  Cash and Conventional borrowers preferred.  FHA buyers obtaining a 203(k) loan only.,Other (See Remarks),1,0,"Hot Water Baseboard, Gas",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Refrigerator;Foundation:Fieldstone, Irregular;Construction:Frame;Exterior:Asbestos;Exterior Features:Fenced Yard;Insulation:Mixed;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;",SF,Pavilion Ave,55,55,http://media.mlspin.com/photo.aspx?mls=72057160
9,72073090,CTG,1499000,,9/26/2016,,,512,499,67 Nanepashemet St.,Marblehead,MA,01945,Marblehead Neck,5,3.5,3300,108,49658,Cressy Team,J. Barrett & Company,(781) 631-9800,Call List Agent,"MARBLEHEAD NECK WITH SEPARATE CARRIAGE HOUSE: Situated on over an acre of private grounds, this stately 1910 English country style home with 5 bedrooms and 3.5 baths combines the detail and charm of day's past with many recent upgrades.  Enjoy the peace and serenity of the natural surroundings which abut the 16 acre bird sanctuary- a perfect place to relax or entertain.  Many traditional features such as coffered ceilings, rich wood floors, french doors, period moldings and dramatic wood wainscoting have been preserved while undergoing many recent upgrades including a granite and stainless kitchen, two new hot water tanks in both the main house and carriage house, some electrical upgrades and an 8 year old gas heating system in the main house.  This unique property is perfect for anyone who has long-term guests such an an au pair, out-of-town family members and friends. 8 car off-street parking.",Other (See Remarks),1,0,"Forced Air, Gas",,Village,Veterans,Marblehead High,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Washer, Dryer;Foundation:Poured Concrete, Fieldstone;Construction:Frame;Exterior:Stucco;Exterior Features:Patio, Covered Patio/Deck, Gutters, Professional Landscaping, Screens, Fenced Yard, Garden Area;Insulation:--;Electric:Circuit Breakers;Interior Features:French Doors;Hot Water:--;",SF,Nanepashemet St.,67,67,http://media.mlspin.com/photo.aspx?mls=72073090
10,72079882,UAG,555000,,10/11/2016,,,233,233,15 Littlefield Pond Drive,Harwich,MA,02645,,4,2.5,2600,1,44267,Nancy Wiley,Keller Williams Realty,(781) 843-3200,Call List Agent,"We are selling at Osprey Landing! We still have lots left for you to build to suit in Harwich's desirable & impressive new 15 home development. Affordable ""green"" home with 5 plus energy star rating, fully loaded with all the bells and whistles of new construction. This 4 bedroom, 2 1/2 bathroom house will have a beautiful, functional eat-in kitchen with all stainless steel appliances. Choose many of your own finishes, plus plenty of room for upgrades and expansion.  Add a ""bonus"" room, finish the basement, add another bathroom, it's all up to you! Includes washer & dryer, a full basement and attached 2-car garage. Also featuring low maintenance exterior, natural gas, landscaping with organic soil and no pesticides.  This particular offering is Lot 8 and we other lots in the development as well. Many of the homes in this development are already occupied, so come see for yourself.",Cape,,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame, Modular;Exterior:Shingles, Fiber Cement Siding;Exterior Features:Porch, Deck, Outdoor Shower;Insulation:Full, Fiberglass, Blown In, Spray Foam;Electric:200 Amps;Interior Features:--;Hot Water:Natural Gas, Tankless;",SF,Littlefield Pond Drive,15,15,http://media.mlspin.com/photo.aspx?mls=72079882
