,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2719,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1875,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,CTG,499000,,11/10/2013,,,1581,1580,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71690969,SLD,172900,168000,6/2/2014,3/31/2017,,1458,989,281 Davis St.,New Bedford,MA,02746,North,9,3,3582,108,3571,Linda Silveira,"Gold Star Realty, Inc.",(508) 998-1888,Call List Agent,Motivated Seller! Solid 3 family with 3 bedroom units & recent roof. 1st fl. features cast iron baseboard heat! Great long term tenants!,,,0,,,,,,,MF,Davis St.,281,281,http://media.mlspin.com/photo.aspx?mls=71690969
5,71753770,SLD,140000,120000,10/6/2014,3/10/2017,,749,682,35 Pleasant,Spencer,MA,01562,,8,3,2838,158,19602,Crawford Realty Team,RE/MAX Prof Associates,(508) 885-7885,Schedule with ShowingTime or call 888-627-2775,"Title issue buyer must clear prior to closing. Spacious 3 family in nice Spencer location.  1st floor features 5 room, 3 bedroom, large fully appliance kitchen open to living room, laundry and private porch overlooking back yard.  2nd floor has large updated fully appliance kitchen, laundry with washer dryer, spacious living room, 3 bedrooms, and private porch. 3rd floor 4 room, 2 bedroom apartment needs to be rehabbed.  Roof, windows and furnaces less than 10 years old.  Beautiful woodwork, beautiful walnut carved staircase. Property sold as is.",,,0,,,Lake st,Wire Village,David Prouty,,MF,Pleasant,35,35,http://media.mlspin.com/photo.aspx?mls=71753770
6,71787186,SLD,79900,60000,1/24/2015,3/7/2017,,590,590,38 Mechanic Street,Fitchburg,MA,01420,,5,2,2328,158,2450,T. Jay Johnson Jr.,RE/MAX Property Promotions,(978) 847-0800,"Call List Agent, Appointment Required, Sign",Convenient downtown location for this two family home. 1st floor offers two bedrooms.  Upper unit has 3-4 bedrooms on two levels.  Great for the family that needs additional space.  Buy here and live here almost rent free. Separate utilities and off street parking.,,,0,,,Choice,Choice,Fitchburg High,,MF,Mechanic Street,38,38,http://media.mlspin.com/photo.aspx?mls=71787186
7,71787759,ACT,190000,,1/27/2015,,,579,,3 Oak St,Uxbridge,MA,01569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
8,71807860,ACT,2000000,,3/27/2015,,,1085,,82-86 Prospect St,Somerville,MA,02143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
9,71808620,SLD,159250,110000,3/29/2015,3/9/2017,,594,594,2235 South Main Street,Fall River,MA,02727,,12,5,4470,88,13068,Vasco Cabral,"CENTURY 21 Associates Realty, LLC",(508) 677-3233,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required","ATTN: SHORT SALE Subject to all bank conditions set forth by lender.  Huge investment property, great cash flow, all units have lead compliance certificates. Advanced notice required for showings. Majority units are 3 bedroom, some 2  bedroom units, heat & hot water paid by landlord and tenants responsibility for their electric and cooking gas, coin op laundry on site that are leased machines. The buyer is responsible for ALL inspections including smokes at the buyers sole expense.",,,0,,,,,,,MF,South Main Street,2235,2235,http://media.mlspin.com/photo.aspx?mls=71808620
10,71810460,ACT,525000,,4/2/2015,,,1079,,400 Burts Pit Road,Northampton,MA,01062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
