,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71606820,CTG,499000,,11/10/2013,,,1581,1580,13 Richards Ave,North Attleboro,MA,02760,,3,1,750,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,Call List Office,"This cape style home shares the same parcel as 17 Richards Ave ( a 3 unit multifamily).     This home features a eat in kitchen w pantry, dishwasher.   Dining room with built in china cabinet and sunny Living Room and a front porch.    There are 3 bedrooms and a full bath. Plus an extra room suitable for office on the 2nd Floor.  Full unfinished basement w W/D hook-ups and bulkhead  Plenty of off street parking  EASY to rent!     FOR SALE TOGETHER WITH 17 RICHARDS AVE-  MLS# 71606829   LISTED TOGETHER FOR 499K!!!!  A GREAT INVESTMENT VALUE!!!    No showings until after 2/15/18",Cape,,0,"Steam, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch;Insulation:Partial;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Tankless;",SF,Richards Ave,13,13,http://media.mlspin.com/photo.aspx?mls=71606820
2,71860798,UAG,225000,,6/19/2015,,,11,11,29 Elma Circle,Shrewsbury,MA,01545,,3,1.5,1800,164,15245,Sherrill R. Gould,Sherry Realty Associates,(978) 501-2744,Call List Office,,Cape,,1,Hot Water Radiators,,,,,Basement:Yes;Fireplaces:0;Roof:--;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:--;Exterior Features:--;Insulation:--;Electric:220 Volts;Interior Features:--;Hot Water:Oil;,SF,Elma Circle,29,29,http://media.mlspin.com/photo.aspx?mls=71860798
3,71866515,CTG,875000,,6/30/2015,,,946,924,866 Main Street,West Newbury,MA,01985,,4,1,2008,138,392040,Valerie R. McGillivray,Bean Group,(978) 572-2054,"Call List Agent, Accompanied Showings, Appointment Required","CONTINUING TO SHOW FOR BACK UP ...Iconic landmark in West Newbury... Once a very charming farmhouse with some nice details, it now needs a total rehab. It is currently farmed, and has produced flowers, produce, and more for the local community for generations. This would again be a wonderful equestrian property or fine estate with almost 10 acres of land and several outbuildings that need work, but with lots of interesting features to this property. There is also great potential for development with 1/2-acre zoning, town water, and close proximity to commuter routes and the Merrimack River. Listed separately as land, see MLS 71866516. Property to be sold as-is.  Several ANR lots possible making recouping most of the purchase price an option , and use the remainder of the land for your farm...Septic system in place for 4 BR , installed in recent years , house would lend nicely to an addition on rear for a 1 BR apt also . Lots of options on this beautiful property  in West Newbury !","Victorian, Farmhouse",1,0,Other (See Remarks),,W. Newbury,Pentucket Reg,Pentucket Reg,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Other (See Remarks);Foundation:Fieldstone, Brick;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Storage Shed, Barn/Stable, Paddock, Garden Area, Horses Permitted;Insulation:Unknown;Electric:Other (See Remarks);Interior Features:Cable Available;Hot Water:Other (See Remarks);",SF,Main Street,866,866,http://media.mlspin.com/photo.aspx?mls=71866515
4,71992848,UAG,449900,,4/22/2016,,,336,327,Lot 37 Garland Woods,Pelham,NH,03076,,4,4,2700,3,21780,Susan Green,Green & Company Real Estate,(603) 964-7572,"Call List Office, Call List Agent, Sign",Beautiful New Craftsman Style Home with Classic Front Porch & Spacious Open Floor Plan.  Enjoy your Family & Friends Comfortably in the 15x22 Living Room and 12x29 Kitchen Dining Area. Hardwood Flooring and Large Kitchen with Granite Counters which Opens into the Dining Area. Master Suite on the 2nd Floor with 2 additional bedrooms and Full Bath. Future Bonus Room/5th Bedroom or Use for Storage. Professional Landscaping & 2 Car Attached Garage.,"Cape, Farmhouse, Bungalow, Other (See Remarks)",1,2,"Forced Air, Propane",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Shingles, Vinyl;Exterior Features:Porch, Professional Landscaping, Screens;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Propane Gas;",SF,Garland Woods,37,Lot 37,http://media.mlspin.com/photo.aspx?mls=71992848
5,71997154,UAG,170000,,4/30/2016,,,308,308,252 Chestnut Street,Randolph,MA,02368,,2,1,864,63,7500,Sonny Searles,"Copperwood Real Estate, Inc.",(508) 587-2255,"Call List Agent, Appointment Required","2-bedroom Ranch, needs TLC. Short sale: buyer to pay non-refundable $5,000 short sale negotiation fee at time of offer.",Ranch,1,0,Hot Water Baseboard,,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Laminate;Appliances:Range, Disposal, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Storage Shed;Insulation:--;Electric:220 Volts, Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Tankless;",SF,Chestnut Street,252,252,http://media.mlspin.com/photo.aspx?mls=71997154
6,72013696,CTG,1275000,,5/31/2016,,,577,572,370 Goss Lane,Lancaster,MA,01523,,4,2.5,3215,13,1474070,Ginette Brockway,Keller Williams Realty Boston Northwest,(978) 369-5775,"Accompanied Showings, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Move in and enjoy! PRICED WELL BELOW REPLACEMENT COST! This stunning horse farm, built in 2005,  is 1 hr from Boston, on 33 acres! Complete equestrian facility will meet the requirements of the most discerning equestrian.  Bring your horses home! Gorgeous house with open floor plan and tons of glass to soak in the views! Hardwood floors, soaring ceilings, 1st fl master suite. Lower walk out level recently finished. State of the art barn w/ 20 stalls (12x14), auto waterers, heated tack rm and office, 1/2 bath, grain rm, wash stall, grooming stall & indoor arena, (85x200). Outdoor arena, sprinkler system (120x200), 17 paddocks. Barn is on separate meters for heat and electricity and stalls can be leased to trainer for additional income stream!  Close to shops,10 min-Rts 2 & 495.",Contemporary,1,2,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Wall Oven, Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck - Wood, Barn/Stable, Paddock, Fenced Yard, Horses Permitted;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Propane Gas;",SF,Goss Lane,370,370,http://media.mlspin.com/photo.aspx?mls=72013696
7,72017056,UAG,429900,,6/3/2016,,,286,270,Lot 1 Keene Road,Acushnet,MA,02743,,3,2.5,2200,2,60000,Ronald Oliveira,Century 21 Signature Properties,(508) 999-4541,--,"New Construction,  soon to be built, time to pick your finishes, this home is one of three new homes we are building on Keene Road,  private tranquil setting, enjoy peace and quiet while living in this new colonial. Spacious open floor plan, kitchen with granite and stainless appliances, island, hardwood flooring, french doors open to your deck overlooking your  treed back yard. Master suite, 3 bedrooms, 2.5 baths, central air, garage, generous allowances, call for more details. SEE BUILDING PLANS & PLOT PLANS ATTACHED TO LISTING!!",Colonial,1,2,"Central Heat, Propane",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Electric;",SF,Keene Road,1,Lot 1,http://media.mlspin.com/photo.aspx?mls=72017056
8,72022432,CTG,1749000,,6/13/2016,,,558,531,8 Willow St,Dover,MA,02030,,4,5.5,6398,5,43560,Jay Hughes,Dover Country Properties Inc.,(508) 785-1550,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Nearly new and beautifully sited on private landscaped acre this custom built residence is minutes to Wellesley/Needham. Dramatic detailed two story entry foyer leads to FP living room and dining room combination. FP familyroom opens to fantastic private screened porch overlooking level rear yard. Gorgeous, ideally executed kitchen, offers custom cabinetry, granite counter tops, ss appliances, center island, pantry plus dining area! Rear hall from 3 car attached garage offers large mudroom with custom cubbies and bench! The  second floor foyer offers open space with window seat and bookshelves. Master bedroom suite, ultra bath double vanity, soaking tub, separate oversized shower, 3 closets and all opening to a private outside balcony! In addition 3 en-suite bedrooms plus office/den.. Lower level with playroom, gym, billiard room, recreation area with wet bar and full bath! A bright and open interior, exceptional opportunity and location! Easy access to train, major routes.",Colonial,1,3,"Forced Air, Heat Pump, Propane",,Chickering,Dover-Sherborn,Dover/Sherborn,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:Range, Dishwasher, Microwave, Refrigerator, Vacuum System, Vent Hood;Foundation:Poured Concrete;Construction:Frame, Stone/Concrete;Exterior:Shingles, Stone, Fiber Cement Siding;Exterior Features:Porch - Screened, Deck, Deck - Roof, Patio, Balcony, Professional Landscaping, Sprinkler System, Garden Area, Stone Wall;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:Propane Gas, Tank;",SF,Willow St,8,8,http://media.mlspin.com/photo.aspx?mls=72022432
9,72028582,UAG,598800,,6/23/2016,,,253,253,18 Lot 27,Boston,MA,02124,,4,3.5,2495,1,5360,JL Williams,Coldwell Banker Residential Brokerage - Waltham,(781) 893-0808,Other (See Special Showing Instructions),"Presenting the ""Arbor"" 2495 + square feet - 4 bedrooms - 3.5 baths - attached garage - oak floors - insulated windows and doors - 2 heat zones - kitchen appliances included - covered front porch - basements designed for future build-out with rough plumbing and oversized windows or can be finished per seller request -HardieBoard siding - front yard landscaping included - 2 Car Garage, sitting on a premium lot with privacy.",Colonial,,1,Central Heat,,,,,"Basement:Yes;Fireplaces:1;Roof:--;Floor:Wood, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Refrigerator - ENERGY STAR, Dishwasher - ENERGY STAR, Cooktop - ENERGY STAR, Range - ENERGY STAR, Rangetop - ENERGY STAR, Oven - ENERGY STAR;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:--;Insulation:Full, Partial, Fiberglass;Electric:--;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;",SF,Lot 27,18,18,http://media.mlspin.com/photo.aspx?mls=72028582
10,72029654,UAG,578500,,6/26/2016,,,250,250,Lot 7 Senator Bolling Circel,Boston,MA,02124,Dorchester's Dorchester Center,4,3.5,2300,1,5632,JL Williams,Coldwell Banker Residential Brokerage - Waltham,(781) 893-0808,Other (See Special Showing Instructions),"Presenting the ""Audubon "" 2300 + square feet - 4 bedrooms - 3.5 baths - attached garage - oak floors - insulated windows and doors - 2 heat zones - kitchen appliances included - covered front porch - basements designed for future build-out with rough plumbing and oversized windows or can be finished per seller request -HardieBoard siding - front yard landscaping included sitting on a premium lot with privacy.",Colonial,,1,Central Heat,,,,,"Basement:Yes;Fireplaces:1;Roof:--;Floor:Wood, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Refrigerator - ENERGY STAR, Dishwasher - ENERGY STAR, Cooktop - ENERGY STAR, Range - ENERGY STAR, Rangetop - ENERGY STAR, Oven - ENERGY STAR;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:--;Insulation:Full, Partial, Fiberglass;Electric:--;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;",SF,Senator Bolling Circel,7,Lot 7,http://media.mlspin.com/photo.aspx?mls=72029654
