,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2719,,24 Crescent C095/Multi007,Derry,NH,3038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1875,,23 North End Blvd.,Salisbury,MA,1952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,CTG,499000,,11/10/2013,,,1581,1580,17 Richards Avenue,North Attleboro,MA,2760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71787759,ACT,190000,,1/27/2015,,,579,,3 Oak St,Uxbridge,MA,1569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
5,71792287,SLD,2000000,1400000,2/13/2015,5/15/2017,,117,85,362-364 West Broadway,Boston,MA,2127,,7,4,5172,119,3400,Kristen Day,Conway - S. Boston,(617) 269-8310,Call List Agent,"Mixed use multi  one commercial unit at 362 and four residential at 364 with ajoining lot.  Building is a tear down or total gut.   Parcel runs from 362- 364 West Broadway to 289 Athens St   it  will not be delivered vacant, there are tenants in the commercial and two residential units.  TAW except unit #2",,,0,,,,,,,MF,West Broadway,362364,362-364,http://media.mlspin.com/photo.aspx?mls=71792287
6,71807860,ACT,2000000,,3/27/2015,,,1085,,82-86 Prospect St,Somerville,MA,2143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
7,71810460,ACT,525000,,04/02/2015,,,1079,,400 Burts Pit Road,Northampton,MA,1062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
8,71834589,ACT,279900,,05/11/2015,,,1039,,76 Cushman Road,Leverett,MA,1054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
9,71851284,SLD,249900,280000,06/04/2015,5/19/2017,,425,50,10 Temple St,Revere,MA,2151,,4,2,2014,108,1820,Sara Hrono,EXIT Realty Beatrice Associates,(617) 764-5601,Other (See Special Showing Instructions),"Attention Investors and contractors, here's one for you! Centrally located two family, tremendous potential, needs work. Subject to third party approval. Property will be sold as is where is, tenanted, buyer responsible for all due diligence.",,,0,,,,,,,MF,Temple St,10,10,http://media.mlspin.com/photo.aspx?mls=71851284
10,71855651,SLD,209000,176400,06/09/2015,5/30/2017,,689,689,42 Peckham St,Fall River,MA,2724,,6,3,2610,118,3369,Gil M. Diniz,Prestige Realty Experts Inc.,(508) 672-9222,Call List Agent,"Well maintained de leaded 3 family located in the south end, nestled back away from the street in a quiet back parcel. Many updates including a beautifully renovated bath in first floor unit, high efficiency boiler/hot water system for the second unit and the third floor boasts a 3rd potential bedroom in a townhouse style upper level. Perfect owner occupied home or turnkey investment property. Clean basement with owner owned coin-op laundry to offset your common area electric bill! New roof this year, Replacement windows throughout, vinyl siding and 1 off street parking space. All appliances transfer with sale!",,,0,,,,,,,MF,Peckham St,42,42,http://media.mlspin.com/photo.aspx?mls=71855651
