,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,72221281,ACT,175000,,8/31/2017,,,202,,1025 Main Street,Agawam,MA,1001,,4,2,1812,118,17860,Kathleen Witalisz,Witalisz & Associates,(413) 568-0005,"Call List Office, Accompanied Showings, Appointment Required, Other (See Special Showing Instructions)",Located right on Route 159. A great opportunity to invest or own & occupy. Come preview this property today!,,,0,,,,,,,MF,Main Street,1025,1025,http://media.mlspin.com/photo.aspx?mls=72221281
2,72246160,EXT,269900,,10/22/2017,,,349,,1744 Main Street,Agawam,MA,1001,,4,2.5,1603,95,26571,Gregory Blair,Valenti Real Estate,(413) 575-1762,Call List Agent,"Location, location, location. This property is across the street from one of the Six Flags Amusement Park entrances. This property has many uses because the zone in the front is Bus B and the zone in the back yard is Indust A.  The two family is occupied. Both tenants would like to stay if a Buyer would like to keep the tenants. The tenants are at will or month to month. Buyers to check with or verify with the Agawam Town Authorities as to the intended use. MOTIVATED SELLER.",,,0,,,James Clark,Agawam,Agawam,,MF,Main Street,1744,1744,http://media.mlspin.com/photo.aspx?mls=72246160
3,72269654,ACT,359000,,01/10/2018,,,70,,724-726 Main St.,Agawam,MA,1001,,7,4,3765,223,35719,Susan Drumm,Coldwell Banker Residential Brokerage - Longmeadow,(413) 567-8931,"Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Welcome home to this charming 2 family home set right in the center of the town's historical district. Located on a corner lot on .82 acres, there is plenty of room to roam. Exterior features include a 3 car garage, fenced in yard, 24' above ground pool w/metal deck, wood shop, shed  and 2 story playhouse all with electricity, garden complete with apple trees and blueberry bushes, beautiful fire-pit, and finally a Jacuzzi! Wander inside and find all the charm  of yesteryear, but with modern day amenities. The comfy main home boasts 4 fireplaces , 4 bedrooms and 3 full baths. The wide plank pine floors, stone hearths, wainscoting, tiger wood maple railing and classic interior doors and finishes will bring you back in time! Master bedroom presents 2 walk in closets, 3/4 bath with double vanity &  dressing room/nursery/office. Walk up to the partially heated and finished 3rd floor or relax in your 4 season solarium off the kitchen. Too many features to list, so schedule a tour today!",,,3,,,Benjamin Phelps,Doering,Agawam H.S.,,MF,Main St.,724726,724-726,http://media.mlspin.com/photo.aspx?mls=72269654
4,71971715,ACT,315000,,3/14/2016,,,737,,120-122 Logtown Rd,Amherst,MA,1002,,4,3,1660,33,20233,Kym Peloquin,Century 21 Hometown Associates,(413) 315-4337,"Call List Agent, Accompanied Showings, Appointment Required, Sign, Other (See Special Showing Instructions)","Buyers want extra income then come check out  this BEAUTIFUL, MOVE IN READY owner occupied single family raised ranch with a 1 bedroom apartment that is located behind the garage. The property is all electric and has leased Solar Panels.  Amenities include a deck, storage shed, 2 full baths, laundry room and a family room along with an additional room in the lower level. The apartment offers 1 bedroom kitchen/living room combo and a full bath with stackable washer/drier plus a deck.  This apartment has it's own house number  and entrance and can be rental income or used as an in-law apartment or maybe even an office.  Per town, property has to be owner occupied. Buyer responsible to verify legal usage for apartment and all other information.  Buyer responsible to take over the solar lease.",,,1,,,,,,,MF,Logtown Rd,120122,120-122,http://media.mlspin.com/photo.aspx?mls=71971715
5,72281956,ACT,495000,,2/15/2018,,,34,,33 Pokeberry,Amherst,MA,1002,,3,2,1208,50,118918,John  F. Edwards,John F. Edwards Realty,(413) 253-9090,"Call List Office, Call List Agent, Lock Box","Unusual ""Build-Out"" or ""Tear-Down"" opportunity.   2.72 acre Amherst center property features stunning western views from this exclusive Pokeberry Ridge location, a private way off of East Pleasant Street. This property includes land on both sides of the way.  The current structure is a two bedroom hip roofed ranch with a one bedroom apartment in the walkout basement.  Amherst by-laws allow a ""Supplemental Detached Dwelling Unit"" up to 900 SF to be constructed upon the premises in addition to the original house, in lieu of the apt. Great opportunity to remodel/add on or build the in-laws or kids their own bungalow on this stunning property one half mile from the center.  Views, location and opportunity rarely seen!  Interior is clean but dated.  Premises are being marketed for the marvelous potential.  Great ""condo"" conversion opportunity!",,,1,,,,,,,MF,Pokeberry,33,33,http://media.mlspin.com/photo.aspx?mls=72281956
6,72285970,ACT,349900,,2/26/2018,,,251,,1427 S East St,Amherst,MA,1002,,5,2,1841,218,30085,Jeremy Ober,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Agent, Lock Box, Appointment Required","Handsome, well-cared-for two-family. Popular features include; stainless steel appliances, sparkling hard wood floors, porcelain tiles and front-loading washer and dryer.The three-season porch is a wonderful place to welcome the morning or enjoy a cool summer evening. The two-car garage is detached. The second floor apartment is great for extended families or as an income producer to offset mortgage costs. This outstanding location abuts Mt. Pollux Conservation Trail and is only 7 minutes to downtown Amherst. This home is a rare.",,,2,,,,,,,MF,S East St,1427,1427,http://media.mlspin.com/photo.aspx?mls=72285970
7,72294127,ACT,399000,,3/15/2018,,,6,,320 West St,Amherst,MA,1002,South Amherst ,5,2.5,2600,51,17828,Xian Dole,Keller Williams Realty,(413) 585-0022,"Appointment Required, Other (See Special Showing Instructions)","House was a single family home, now is a duplex,  up and down two units, special permit.   Upper level unit has 3 bedrooms, 1 full and 1 half baths.  Lower level has 2 bedrooms and 1 office room, 1 full bath.  Recent improvements are some replacement windows, roof, siding.  This two unit house is great for owner living on level and renting out the lower level, or just renting out both units and collect good rent for income.",,,1,,,,ARMS,AHS,,MF,West St,320,320,http://media.mlspin.com/photo.aspx?mls=72294127
8,72057744,SLD,74900,75000,8/24/2016,11/30/2016,,79,79,116 School St N,Barre,MA,1005,,4,2.5,2576,143,13068,Donna Brooks,Boss Realty Group,(978) 534-0615,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","What a perfect set up for an in-law with this Barre 2 family.  Features include 4 bedrooms, 2.5 baths, attached barn, garage on zero lot line and so much more. Second unit has 2 rms, 1 bath.  Need to see this one quickly. Buyer responsible to verify all information since it was obtained from third party sources. This is a Fannie Mae Home Path Property.. First Time Buyers may receive up to 3% closing costs assistance by completing the HomePath Ready Buyer Homeownership course.. ""Restrictions Apply""",,,1,,,,,,,MF,School St N,116,116,http://media.mlspin.com/photo.aspx?mls=72057744
9,72283110,ACT,299900,,02/07/2018,,,42,,13 Sargent,Belchertown,MA,1007,,3,2,1354,218,30690,Stephanie Connors,SR Commercial Realty,(413) 271-1180,Call List Agent,"INVESTORS take notice. What you see isn't all you get. There is a two unit residential home on this property but the value lies in the fact that it's zoned for commercial use and surrounded by business. High traffic count. TOWN WATER AND SEWER. Building was originally open, and could be again, for retail use.  You can collect rent while you are making your plans. Tenants' lease can end upon 60 day notice. Could make an interesting location for alternative medicine practitioners or other professionals. Because it can become open space inside, there are many possibilities. Building could be taken down to create an open site. May possibly be  reconfigured to provide more rooms for University students as it's only 21 minutes to UMass according to MapQuest.  See attached income/expense document provided by seller.",,,0,,,,,,,MF,Sargent,13,13,http://media.mlspin.com/photo.aspx?mls=72283110
10,72242354,ACT,369850,,10/12/2017,,,160,,0/14/16 Old East Brimfield,Brimfield,MA,1010,East Brimfield ,8,4,3200,63,126324,Gail Mahoney,RE/MAX Prof Associates,(508) 347-9595,"Call List Agent, Accompanied Showings, Appointment Required, Sign, Pets on Premises","COUNTRY LIFE PROPERTIES shares an UNHEARD of Brimfield opportunity! 4 rental units in this almost 3 acre, waterfront on Pork Barrel Pond, ""Country Compound!"" Spacious,updated 2 family with 2 additional mobile homes has amazing income and creative potential! Great access to Rt. 20,10 min to the Ma.Pike ( hour to Boston!! ) & Sturbridge's Restaurant Row! Each unit is in wonderful, updated condition.Laundry room & great storage in 2 family.Large lot w/pretty yard w/garden area & firepit patio, room for a horseshoe pit...speaking of that...space towards the back of the property for horses,goats,llamas?Oversized,detached garage w/elec., make it a small barn?Room for 4 wheelers?Shop for cars, motorcycles?Bar?Walk down the wooded path to the trails all around the peaceful pond, maintained by the Army Corps of Engineers, what privacy! There is so much to see here, please set an appointment with some notice and get ready to live your COUNTRY LIFE...with income!",,,3,,,Burgess,Tantasqua,Tantasqua,,MF,Old East Brimfield,1416,0/14/16,http://media.mlspin.com/photo.aspx?mls=72242354
