,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,72035967,SLD,89900,85000,07/11/2016,10/19/2016,,77,77,35-37 King St,Agawam,MA,1001,,5,2.5,2428,118,5663,James Macchio,Agnelli Real Estate,(860) 282-0678,"Schedule with ShowingTime or call 888-627-2775, Other (See Special Showing Instructions)","CONVENTIONAL STYLE 2-FAMILY HOME WITH A TOTAL OF 5 BEDS AND 2 AND A HALF BATHS AND 2,428 SQFT OF LIVING SPACE.  BOTH UNITS FEATURE THEIR OWN ENCLOSED PORCHES TO ENJOY ALL OF NEW ENGLANDS SEASONS. LARGE LEVEL REAR YARD WITH A SHED FOR ADDITIONAL STORAGE. LONG DRIVEWAY FOR OFF-STREET PARKING. CHECK IT OUT!",,,0,,,,,,,MF,King St,3537,35-37,http://media.mlspin.com/photo.aspx?mls=72035967
2,72055449,SLD,219000,226000,8/18/2016,10/14/2016,,39,12,31 OTTAWA STREET,Agawam,MA,1001,,4,2,2496,128,10000,Deborah Krawiec,"Real Living Realty Professionals, LLC",(413) 568-2405,"Call List Agent, Lock Box, Appointment Required, Sign",PRIDE OF OWNERSHIP SHINES THRU THIS OWNER OCCUPIED VINYL SIDED 2 FAMILY.....MANICURED YARD.....SEPARATE UTILITIES; 2 ELECTRIC & GAS METERS & 2 FURNACES....HARDWOOD FLOORS....WIDE BASEBOARD TRIM & ARCHED ENTRIES....UPDATED 2ND FLOOR....WALK-UP ATTIC AFFORDS FUTURE ROOMS FOR THE 2ND FLOOR....DECK....ENCLOSED PORCH....NATURAL GAS HEAT....CERAMIC TILED BATHS....BASEMENT IS DIVIDED FOR SEPARATE STORAGE FOR EACH UNIT....CONVENIENT LOCATION WITH ACCESS TO DOWNTOWN SPRINGFIELD AND MAJOR ROUTES!,,,0,,,,,,,MF,OTTAWA STREET,31,31,http://media.mlspin.com/photo.aspx?mls=72055449
3,72056291,SLD,219900,216000,8/22/2016,10/14/2016,,9,9,70-72 Sunnyslope Ave,Agawam,MA,1001,,4,3,1568,43,16988,DeeDee's Team,Home Pros Real Estate,(413) 237-2661,Owner,Really nice turn key duplex in a lovely neighborhood located close to the Connecticut line. Each unit has 2 bedrooms and 1.5 baths.An open floor plans greets you as you enter through either door.Large fenced yard that boasts privacy as it abuts woods on the side and paper street  behind.Separate  utilities and separate driveways. This home is perfect for either as an owner occupied or investment. Call for your appointment today.One side is vacant and has a lock Box for easy showings.Second side has a very good long term tenant.,,,0,,,,,,,MF,Sunnyslope Ave,7072,70-72,http://media.mlspin.com/photo.aspx?mls=72056291
4,72221281,ACT,175000,,8/31/2017,,,202,,1025 Main Street,Agawam,MA,1001,,4,2,1812,118,17860,Kathleen Witalisz,Witalisz & Associates,(413) 568-0005,"Call List Office, Accompanied Showings, Appointment Required, Other (See Special Showing Instructions)",Located right on Route 159. A great opportunity to invest or own & occupy. Come preview this property today!,,,0,,,,,,,MF,Main Street,1025,1025,http://media.mlspin.com/photo.aspx?mls=72221281
5,72246160,EXT,269900,,10/22/2017,,,349,,1744 Main Street,Agawam,MA,1001,,4,2.5,1603,95,26571,Gregory Blair,Valenti Real Estate,(413) 575-1762,Call List Agent,"Location, location, location. This property is across the street from one of the Six Flags Amusement Park entrances. This property has many uses because the zone in the front is Bus B and the zone in the back yard is Indust A.  The two family is occupied. Both tenants would like to stay if a Buyer would like to keep the tenants. The tenants are at will or month to month. Buyers to check with or verify with the Agawam Town Authorities as to the intended use. MOTIVATED SELLER.",,,0,,,James Clark,Agawam,Agawam,,MF,Main Street,1744,1744,http://media.mlspin.com/photo.aspx?mls=72246160
6,72269654,ACT,359000,,01/10/2018,,,70,,724-726 Main St.,Agawam,MA,1001,,7,4,3765,223,35719,Susan Drumm,Coldwell Banker Residential Brokerage - Longmeadow,(413) 567-8931,"Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","Welcome home to this charming 2 family home set right in the center of the town's historical district. Located on a corner lot on .82 acres, there is plenty of room to roam. Exterior features include a 3 car garage, fenced in yard, 24' above ground pool w/metal deck, wood shop, shed  and 2 story playhouse all with electricity, garden complete with apple trees and blueberry bushes, beautiful fire-pit, and finally a Jacuzzi! Wander inside and find all the charm  of yesteryear, but with modern day amenities. The comfy main home boasts 4 fireplaces , 4 bedrooms and 3 full baths. The wide plank pine floors, stone hearths, wainscoting, tiger wood maple railing and classic interior doors and finishes will bring you back in time! Master bedroom presents 2 walk in closets, 3/4 bath with double vanity &  dressing room/nursery/office. Walk up to the partially heated and finished 3rd floor or relax in your 4 season solarium off the kitchen. Too many features to list, so schedule a tour today!",,,3,,,Benjamin Phelps,Doering,Agawam H.S.,,MF,Main St.,724726,724-726,http://media.mlspin.com/photo.aspx?mls=72269654
7,71971715,ACT,315000,,3/14/2016,,,737,,120-122 Logtown Rd,Amherst,MA,1002,,4,3,1660,33,20233,Kym Peloquin,Century 21 Hometown Associates,(413) 315-4337,"Call List Agent, Accompanied Showings, Appointment Required, Sign, Other (See Special Showing Instructions)","Buyers want extra income then come check out  this BEAUTIFUL, MOVE IN READY owner occupied single family raised ranch with a 1 bedroom apartment that is located behind the garage. The property is all electric and has leased Solar Panels.  Amenities include a deck, storage shed, 2 full baths, laundry room and a family room along with an additional room in the lower level. The apartment offers 1 bedroom kitchen/living room combo and a full bath with stackable washer/drier plus a deck.  This apartment has it's own house number  and entrance and can be rental income or used as an in-law apartment or maybe even an office.  Per town, property has to be owner occupied. Buyer responsible to verify legal usage for apartment and all other information.  Buyer responsible to take over the solar lease.",,,1,,,,,,,MF,Logtown Rd,120122,120-122,http://media.mlspin.com/photo.aspx?mls=71971715
8,72281956,ACT,495000,,2/15/2018,,,34,,33 Pokeberry,Amherst,MA,1002,,3,2,1208,50,118918,John  F. Edwards,John F. Edwards Realty,(413) 253-9090,"Call List Office, Call List Agent, Lock Box","Unusual ""Build-Out"" or ""Tear-Down"" opportunity.   2.72 acre Amherst center property features stunning western views from this exclusive Pokeberry Ridge location, a private way off of East Pleasant Street. This property includes land on both sides of the way.  The current structure is a two bedroom hip roofed ranch with a one bedroom apartment in the walkout basement.  Amherst by-laws allow a ""Supplemental Detached Dwelling Unit"" up to 900 SF to be constructed upon the premises in addition to the original house, in lieu of the apt. Great opportunity to remodel/add on or build the in-laws or kids their own bungalow on this stunning property one half mile from the center.  Views, location and opportunity rarely seen!  Interior is clean but dated.  Premises are being marketed for the marvelous potential.  Great ""condo"" conversion opportunity!",,,1,,,,,,,MF,Pokeberry,33,33,http://media.mlspin.com/photo.aspx?mls=72281956
9,72285970,ACT,349900,,2/26/2018,,,251,,1427 S East St,Amherst,MA,1002,,5,2,1841,218,30085,Jeremy Ober,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Agent, Lock Box, Appointment Required","Handsome, well-cared-for two-family. Popular features include; stainless steel appliances, sparkling hard wood floors, porcelain tiles and front-loading washer and dryer.The three-season porch is a wonderful place to welcome the morning or enjoy a cool summer evening. The two-car garage is detached. The second floor apartment is great for extended families or as an income producer to offset mortgage costs. This outstanding location abuts Mt. Pollux Conservation Trail and is only 7 minutes to downtown Amherst. This home is a rare.",,,2,,,,,,,MF,S East St,1427,1427,http://media.mlspin.com/photo.aspx?mls=72285970
10,72294127,ACT,399000,,3/15/2018,,,6,,320 West St,Amherst,MA,1002,South Amherst ,5,2.5,2600,51,17828,Xian Dole,Keller Williams Realty,(413) 585-0022,"Appointment Required, Other (See Special Showing Instructions)","House was a single family home, now is a duplex,  up and down two units, special permit.   Upper level unit has 3 bedrooms, 1 full and 1 half baths.  Lower level has 2 bedrooms and 1 office room, 1 full bath.  Recent improvements are some replacement windows, roof, siding.  This two unit house is great for owner living on level and renting out the lower level, or just renting out both units and collect good rent for income.",,,1,,,,ARMS,AHS,,MF,West St,320,320,http://media.mlspin.com/photo.aspx?mls=72294127
