,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2726,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1882,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71524024,SLD,275000,220000,5/12/2013,9/9/2016,,46,46,509 Berkley St,Taunton,MA,02780,,4,2.5,2226,118,20473,Joseph Ponte,Ponte & Associates Real Estate,(508) 324-4800,Call List Office,"LOVE THE WATER? Well here is a great opportunity to own this 2 family side by side on the water at the Taunton/Berkley line. Main house has 3 bedrooms, 1.5 baths, open floor plan to the kitchen, dining and family room, with an office, on the side with its own entrance is a 1 bedroom unit with a full basement.  lots of updates such as electric, kitchens & bathrooms, some new windows. Forced hot air in main house & baseboard in 1 bedroom apartment.MUST BE PURCHASED WITH MLS #: 71519445",,,1,,,,,,,MF,Berkley St,509,509,http://media.mlspin.com/photo.aspx?mls=71524024
4,71606829,BOM,499000,,11/10/2013,,,1588,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
5,71770001,SLD,424000,430000,11/18/2014,9/10/2016,,140,140,636-638 West Park Street,Boston,MA,02124,,5,3,4016,118,6295,Elba Rojas,"Boston Multi Services, LLC",(617) 942-2428,Call List Office,CASH BUYERS ONLY or buyer with quick closing availability! Great investment! income property! Property to be sold as is.. ALL tenants are TAW.  Open House - SATURDAY 3/19 2-3PM- 1st floor can be delivered vacant.,,,0,,,,,,,MF,West Park Street,636638,636-638,http://media.mlspin.com/photo.aspx?mls=71770001
6,71787759,ACT,190000,,1/27/2015,,,586,,3 Oak St,Uxbridge,MA,01569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
7,71788176,SLD,550000,450000,1/29/2015,9/30/2016,,569,569,35 Newton Road,Plaistow,NH,03865,,10,6,5940,53,1033243,Charles Coco,Coldwell Banker Residential Brokerage - Haverhill,(978) 372-8577,Call List Agent,"1.10 Acres of Land. Great investment property! Excellent condition. Five 2 bedroom units. One two story, 1 & 3/4 baths, two bedroom Gambrel Town House, 2300 SF. Appliances not included in Town House. Plus Four Garden Style Apartments one unit recently remodeled.",,,0,,,,,,,MF,Newton Road,35,35,http://media.mlspin.com/photo.aspx?mls=71788176
8,71807860,ACT,2000000,,3/27/2015,,,1092,,82-86 Prospect St,Somerville,MA,02143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
9,71809207,SLD,130000,130000,3/31/2015,9/16/2016,,260,260,6 Berkshire St,Springfield,MA,01151,,6,3,2880,94,5001,Edward A. Zmuda,4 Percent USA Realty LLC,(413) 527-2727,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required, Pets on Premises","ATTENTION FIRST TIME BUYERS/INVESTORS DON'T WAIT! Great Multi family and location, corner lot 2 car garage. On Bus Route, close to Highways, Shopping and Entertainment!  Rents low for area-long term tenants, must see great investment property, or owner occupied and let the tenants pay the Mortgage!",,,2,,,,,,,MF,Berkshire St,6,6,http://media.mlspin.com/photo.aspx?mls=71809207
10,71810460,ACT,525000,,4/2/2015,,,1086,,400 Burts Pit Road,Northampton,MA,01062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
