,FLIPPABLE,MLSNUM,SOLDPRICE,DOM,ZIP,BEDS,BATHS,SQFT,AGE,LOTSIZE,GARAGE,PROPTYPE_CAT,STYLE_CAT,ZIP_CAT,SOLDDATE_CAT,IMAGES
3,True,71485790,160000.0,1140,1746.0,3,1.5,1350,58,17860.0,0,0,6,71,736215,4
12,True,71756210,299900.0,844,1741.0,2,2.0,885,68,108900.0,1,0,6,293,736221,3
17,True,71772356,145000.0,476,2747.0,3,1.0,864,67,6485.0,1,0,6,172,736181,1
20,True,71778351,210000.0,439,1904.0,3,2.0,1305,168,4308.0,0,0,1,245,736165,5
29,True,71796597,350000.0,479,1609.0,3,2.5,2700,90,14005.0,2,0,28,307,736146,1
76,True,71862321,145000.0,240,2769.0,3,1.0,1040,48,99204.0,0,0,6,194,736153,3
126,True,71896675,550000.0,0,2324.0,3,2.5,2200,2,132634.0,2,0,3,196,736173,3
142,True,71903528,195000.0,321,2375.0,2,1.5,1428,22,8159.0,0,0,3,200,736173,3
167,True,71909963,258000.0,242,2081.0,3,1.5,1128,59,20100.0,0,0,6,42,736186,3
178,True,71912194,625000.0,33,2451.0,3,1.5,2811,68,18412.0,3,0,6,61,736234,1
186,True,71914368,149000.0,16,2571.0,3,2.0,2144,32,12169.0,0,0,3,146,736229,7
191,True,71915645,262000.0,170,1775.0,4,2.5,1954,50,40075.0,2,0,26,93,736181,3
221,True,71921111,260000.0,226,2360.0,2,2.0,2542,56,9148.0,0,0,6,236,736200,4
224,True,71921231,57000.0,285,1331.0,4,1.5,2058,118,14700.0,0,0,3,386,736227,4
230,True,71921589,215000.0,30,1913.0,3,3.0,1295,46,0.86,0,0,43,271,736174,7
258,True,71927190,558075.0,26,2056.0,4,2.5,2408,2,42566.0,2,0,3,49,736172,4
273,True,71930621,146475.0,189,2368.0,3,1.5,1605,58,12000.0,1,0,6,207,736174,3
301,True,71934450,61605.0,242,2719.0,3,1.0,1148,88,3415.0,1,0,3,167,736213,7
365,True,71942372,135000.0,169,1583.0,3,1.0,1536,62,10198.0,2,0,6,318,736174,3
390,True,71944187,200000.0,334,1778.0,2,1.0,1017,98,11000.0,0,0,6,76,736146,3
399,True,71945005,130000.0,97,2302.0,3,1.0,960,59,13416.0,0,0,6,202,736255,1
439,True,71950916,127600.0,99,2909.0,3,2.0,960,45,3300.0,0,0,6,562,736233,3
447,True,71952705,110000.0,167,2766.0,2,1.0,877,68,7166.0,0,0,2,187,736156,2
467,True,71956089,251000.0,61,1904.0,2,2.0,1736,94,6000.0,1,0,2,245,736153,5
472,True,71956963,12000000.0,14,2116.0,5,6.0,7575,127,2688.0,2,0,15,17,736216,3
477,True,71957683,210000.0,174,1887.0,3,1.0,1200,58,20000.0,0,0,6,238,736202,3
489,True,71960732,155600.0,127,2302.0,3,1.0,1194,58,9801.0,0,0,6,202,736179,4
495,True,71961411,733500.0,33,2062.0,4,2.5,2610,2,10163.0,2,0,3,40,736174,2
497,True,71961949,224974.0,10,1905.0,3,2.0,1296,103,5144.0,0,0,3,247,736145,5
505,True,71963351,115000.0,280,2532.0,4,1.5,2049,295,70132.0,1,0,51,113,736237,3
508,True,71964045,220000.0,74,1887.0,2,1.0,1281,73,9000.0,2,0,32,238,736160,4
509,True,71964138,129000.0,156,1529.0,4,1.0,1440,79,23943.0,2,0,3,353,736198,3
515,True,71964895,95000.0,39,2702.0,3,2.5,2059,33,137650.0,2,0,12,182,736223,1
521,True,71965647,470000.0,112,2025.0,3,2.0,1550,118,8017.0,1,0,46,220,736146,2
525,True,71966457,240000.0,131,1450.0,2,1.5,1814,58,42614.0,2,0,1,374,736235,5
526,True,71966474,44000.0,152,2723.0,3,1.0,1115,88,3226.0,0,0,2,178,736214,4
529,True,71966913,166000.0,106,2368.0,3,1.0,0,118,0.0,0,0,5,207,736241,2
538,True,71968456,40095.0,169,1440.0,3,1.0,1530,118,6366.0,0,0,37,380,736237,4
543,True,71969376,152500.0,121,2771.0,3,2.5,1176,118,17860.0,1,0,0,98,736174,3
567,True,71973697,93000.0,139,1005.0,3,1.0,960,26,16624.0,0,0,6,324,736186,3
587,True,71975704,120000.0,114,2302.0,3,1.5,1660,53,7187.0,0,0,7,202,736248,6
589,True,71975762,60000.0,134,2302.0,2,1.0,1080,98,7187.0,0,0,3,202,736236,3
595,True,71976779,251500.0,27,2072.0,3,2.0,2012,46,15245.0,0,0,7,209,736243,4
603,True,71978041,477500.0,66,1950.0,3,2.0,1520,208,2300.0,0,0,14,269,736174,8
607,True,71979739,210000.0,135,1960.0,3,1.0,1600,61,10001.0,0,0,6,250,736236,3
620,True,71980898,145000.0,43,1749.0,3,1.0,1009,128,7800.0,0,0,2,73,736186,7
638,True,71982749,81000.0,19,2740.0,3,1.0,1261,95,2913.0,0,0,1,168,736180,1
640,True,71982816,522450.0,86,1827.0,4,2.5,3346,32,94787.0,2,0,3,297,736158,3
641,True,71985215,300000.0,89,1550.0,3,2.5,1536,38,375022.0,1,0,6,342,736204,3
648,True,71983687,340000.0,90,1776.0,3,1.0,1350,91,10890.0,1,0,1,75,736153,4
674,True,71987387,456000.0,78,1810.0,4,2.5,2150,49,10440.0,1,0,7,280,736172,1
684,True,71989411,330000.0,73,2180.0,3,2.0,1942,168,15178.0,1,0,14,241,736146,7
685,True,71989620,276000.0,7,2050.0,4,2.0,1812,59,5435.0,0,0,3,230,736145,3
689,True,71990125,340000.0,31,2151.0,3,2.5,1857,68,5466.0,0,0,1,31,736186,3
692,True,71990620,105000.0,138,2724.0,3,1.5,1228,90,7289.0,0,0,0,177,736249,3
694,True,71990995,335000.0,6,2045.0,3,2.0,1302,66,4070.0,0,0,1,218,736145,3
695,True,71991052,272000.0,112,1852.0,4,2.0,3098,118,5983.0,1,0,3,289,736215,3
702,True,71992159,461000.0,23,1904.0,3,3.0,2040,56,5700.0,0,0,3,245,736150,7
704,True,71992280,510000.0,103,2132.0,3,1.0,1750,84,5969.0,2,0,3,9,736220,6
706,True,71992594,479900.0,96,1810.0,3,1.5,1532,70,10534.0,1,0,3,280,736215,4
714,True,71993372,175000.0,8,1501.0,3,1.5,1710,96,31313.0,2,0,3,364,736248,2
715,True,71993446,682000.0,20,2176.0,4,1.5,2216,79,6624.0,1,0,3,242,736156,3
716,True,71993543,460000.0,269,3865.0,3,2.5,2800,19,1089000.0,3,0,6,543,736230,6
720,True,71994265,205000.0,115,2048.0,2,1.0,1332,52,30000.0,1,0,6,37,736223,7
724,True,71994508,162000.0,38,2359.0,3,1.0,1555,48,10002.0,0,0,6,229,736167,3
727,True,71995177,400000.0,107,2472.0,3,1.0,1269,89,4500.0,0,0,3,63,736227,2
729,True,71995873,160000.0,103,1520.0,3,1.5,1414,78,36590.0,0,0,1,321,736220,4
737,True,71997060,397500.0,56,2066.0,4,1.5,1170,93,3877.0,0,0,54,221,736167,4
738,True,71997216,148000.0,28,1844.0,3,1.5,1177,126,2232.0,0,0,3,284,736170,5
740,True,71997783,157500.0,4,1463.0,2,1.0,1056,64,24150.0,0,0,6,375,736172,3
741,True,71998016,368500.0,97,1757.0,4,2.5,2208,4,12298.0,0,0,3,357,736221,3
743,True,71998186,340000.0,132,2151.0,2,1.0,1027,89,3124.0,0,0,62,31,736216,3
745,True,71998281,540000.0,93,1970.0,4,2.5,1965,2,25413.0,2,0,1,251,736230,8
746,True,71998358,215000.0,509,2360.0,3,1.5,1632,21,137177.0,0,0,3,236,736177,3
