,PRE-FLIP-MLS,POST-FLIP-MLS,PRE-FLIP-SOLD-DATE,POST-FLIP-SOLD-DATE,PRE-SOLD-PRICE,POST-SOLD-PRICE,PROFIT
0,71425748.0,72069748.0,2/4/2016,1/20/2017,50000.0,185000.0,135000
1,71477127.0,72073263.0,2/24/2016,11/18/2016,125000.0,395000.0,270000
2,71478495.0,72246808.0,1/15/2016,12/11/2017,720500.0,821000,100500
3,71485790.0,72098121.0,9/8/2016,1/12/2017,160000.0,320000.0,160000
4,71614526.0,72131597.0,3/1/2016,5/1/2017,335000.0,425000.0,90000
5,71633454.0,72078168.0,2/15/2016,1/6/2017,364000.0,875000.0,511000
6,71661835.0,72048142.0,1/20/2016,11/7/2016,135000.0,232000.0,97000
7,71701065.0,72078732.0,1/19/2016,2/1/2017,240000.0,341600.0,101600
8,71716837.0,72063510.0,3/16/2016,12/2/2016,440000.0,714000.0,274000
9,71745072.0,72067668.0,3/25/2016,1/12/2017,215000.0,312000.0,97000
10,71753445.0,72135337.0,7/29/2016,5/31/2017,1100000.0,2250000.0,1150000
11,71754828.0,72265349.0,5/24/2016,1/30/2018,60000.0,100000.0,40000
12,71756210.0,72164670.0,9/14/2016,8/30/2017,299900.0,295000.0,-4900
13,71760534.0,72072806.0,2/19/2016,1/20/2017,50000.0,175500.0,125500
14,71761075.0,72164270.0,2/4/2016,8/3/2017,263000.0,332000.0,69000
15,71764072.0,72013065.0,1/5/2016,10/23/2017,1800000.0,1400000.0,-400000
16,71764646.0,72090842.0,1/11/2016,6/12/2017,24800.0,205000.0,180200
17,71772356.0,72077370.0,8/5/2016,11/1/2016,145000.0,260000.0,115000
18,71772739.0,72224073.0,2/16/2016,10/25/2017,195000.0,385000.0,190000
19,71776252.0,71984292.0,2/23/2016,10/13/2016,110000.0,359900.0,249900
20,71778351.0,72075593.0,7/20/2016,12/16/2016,210000.0,310000.0,100000
21,71778574.0,72118026.0,2/26/2016,5/2/2017,548650.0,550000.0,1350
22,71778578.0,72009725.0,5/25/2016,10/20/2016,490000.0,548570.0,58570
23,71784217.0,72058660.0,5/31/2016,10/28/2016,193800.0,290000.0,96200
24,71787186.0,72192962.0,3/7/2017,9/15/2017,60000.0,140000.0,80000
25,71788439.0,72083149.0,5/25/2016,12/9/2016,132000.0,244000.0,112000
26,71791201.0,72011149.0,1/5/2016,8/31/2016,250000.0,402000.0,152000
27,71795663.0,71992973.0,1/29/2016,7/11/2016,627600.0,530000.0,-97600
28,71795945.0,72104081.0,3/1/2016,3/10/2017,67500.0,85000.0,17500
29,71796597.0,72167294.0,7/1/2016,8/11/2017,350000.0,379500.0,29500
30,71797399.0,72121321.0,2/25/2016,4/25/2017,1040000.0,1275000.0,235000
31,71798489.0,72147782.0,5/26/2016,7/7/2017,524000.0,640000.0,116000
32,71799092.0,72215642.0,1/11/2016,9/28/2017,435000.0,529000.0,94000
33,71802121.0,72043484.0,2/4/2016,9/30/2016,65000.0,120000.0,55000
34,71803809.0,72022243.0,5/13/2016,9/23/2016,265000.0,330000.0,65000
35,71804254.0,72125301.0,3/3/2016,5/2/2017,596813.0,600000.0,3187
36,71898388.0,71804423.0,6/23/2017,12/29/2017,640542.0,588640,-51902
37,71806392.0,72182021.0,1/8/2016,2/16/2018,546500.0,563000.0,16500
38,71806484.0,72206660.0,2/19/2016,11/3/2017,15000.0,22000.0,7000
39,71808007.0,71979321.0,5/4/2016,8/16/2016,349900.0,375000.0,25100
40,71811571.0,72001644.0,1/11/2016,9/26/2016,229000.0,369000.0,140000
41,71814870.0,72256107.0,5/13/2016,2/2/2018,136000.0,300000.0,164000
42,71815158.0,72005031.0,2/23/2016,8/8/2016,158000.0,260000.0,102000
43,71816446.0,72001930.0,3/10/2016,12/19/2016,807400.0,727400.0,-80000
44,71818652.0,72038436.0,5/31/2016,12/30/2016,76000.0,184900.0,108900
45,71818716.0,72072772.0,6/6/2016,12/20/2016,148000.0,237000.0,89000
46,71820305.0,72046933.0,2/29/2016,10/3/2016,173000.0,370000.0,197000
